id,name,description,template,parentId,createdAt,updatedAt
genre_scifi_near_future,近未来科幻,基于现实延展的近未来社会、技术和日常冲突。,强调技术变革如何改写现实生活、制度和关系结构。,genre_scifi_root,2026-06-30T04:59:39.534+00:00,2026-06-30T04:59:39.534+00:00
genre_scifi_cyberpunk,赛博朋克,高科技低生活、资本垄断、义体改造与身份异化并存。,强调技术压迫、阶层撕裂和个人反抗。,genre_scifi_root,2026-06-30T04:59:39.538+00:00,2026-06-30T04:59:39.538+00:00
genre_scifi_apocalypse,末世科幻,灾变、资源危机和秩序重建共同驱动人物选择。,强调生存压力、资源争夺与新秩序搭建。,genre_scifi_root,2026-06-30T04:59:39.544+00:00,2026-06-30T04:59:39.544+00:00
genre_scifi_space,星际冒险,以远航、未知文明、舰队行动或星际任务推进剧情。,强调探索未知、群体协作和文明碰撞。,genre_scifi_root,2026-06-30T04:59:39.549+00:00,2026-06-30T04:59:39.549+00:00
genre_suspense_root,悬疑惊悚,以谜团、异常、危险逼近和真相回收驱动持续阅读。,突出线索推进、异常细节和压力递增。,,2026-06-30T04:59:39.554+00:00,2026-06-30T04:59:39.554+00:00
genre_suspense_detective,刑侦推理,围绕案件调查、证据链和逻辑推演持续推进。,强调案件结构、侦查过程与推理回收。,genre_suspense_root,2026-06-30T04:59:39.558+00:00,2026-06-30T04:59:39.558+00:00
genre_suspense_thriller,惊悚悬疑,危险持续逼近，未知威胁和心理压迫感并重。,强调风险升级、信息缺口和压迫氛围。,genre_suspense_root,2026-06-30T04:59:39.563+00:00,2026-06-30T04:59:39.563+00:00
genre_suspense_weird_rules,规则怪谈,围绕规则、禁忌、异常逻辑和错误代价组织故事。,强调规则辨识、试探边界和异常回收。,genre_suspense_root,2026-06-30T04:59:39.569+00:00,2026-06-30T04:59:39.569+00:00
genre_suspense_infinite,无限副本,通过一个个副本、关卡或循环空间推进生存与破局。,强调副本目标、通关机制、死亡压力与阶段性逃脱。,genre_suspense_root,2026-06-30T04:59:39.574+00:00,2026-06-30T04:59:39.574+00:00
genre_romance_root,言情,以关系推进、情绪兑现和人物陪伴感为主要阅读驱动力。,突出关系变化、情绪拉扯与阶段性回应。,,2026-06-30T04:59:39.578+00:00,2026-06-30T04:59:39.578+00:00
genre_romance_modern,现代言情,现代生活语境中的关系推进、情绪拉扯与现实选择。,强调生活场景、关系误读和情绪回收。,genre_romance_root,2026-06-30T04:59:39.584+00:00,2026-06-30T04:59:39.584+00:00
genre_romance_ancient,古代言情,古代礼法、身份约束和命运纠葛共同作用于关系发展。,强调礼法限制、身份差与关系抉择。,genre_romance_root,2026-06-30T04:59:39.588+00:00,2026-06-30T04:59:39.588+00:00
genre_romance_campus,校园青春,围绕成长、同伴关系、试探靠近和青春氛围展开。,强调成长心事、关系试探和阶段性心动兑现。,genre_romance_root,2026-06-30T04:59:39.593+00:00,2026-06-30T04:59:39.593+00:00
genre_game_root,游戏竞技,围绕比赛、职业体系、数值成长或系统化任务持续推进。,突出规则目标、阶段成长与结果兑现。,,2026-06-30T04:59:39.601+00:00,2026-06-30T04:59:39.601+00:00
genre_game_esports,电竞,以赛事对抗、团队磨合、训练成长和成绩突破为主线。,强调比赛节奏、团队配合与关键局兑现。,genre_game_root,2026-06-30T04:59:39.614+00:00,2026-06-30T04:59:39.614+00:00
genre_game_online,虚拟网游,围绕职业体系、副本、工会关系和游戏世界成长展开。,强调系统成长、副本推进和资源竞争。,genre_game_root,2026-06-30T04:59:39.625+00:00,2026-06-30T04:59:39.625+00:00
