id,novelId,ledgerKey,title,summary,scopeType,currentStatus,targetStartChapterOrder,targetEndChapterOrder,firstSeenChapterOrder,lastTouchedChapterOrder,lastTouchedChapterId,setupChapterId,payoffChapterId,lastSnapshotId,sourceRefsJson,evidenceJson,riskSignalsJson,statusReason,confidence,createdAt,updatedAt
cmr26ff3204f2v16z6fods9j7,cmr23pgks000fv16zpwg1ms38,secret_rules_system,秘密关系规则,阿条制定三条规则及附加条件，为后续偷情日常提供框架。,chapter,setup,4,10,3,3,cmr24zob701rjv16zoa3pmbkg,cmr24zob701rjv16zoa3pmbkg,,cmr26feyn04ebv16zh84ifjuv,"[{""kind"":""foreshadow_state"",""refLabel"":""秘密关系规则"",""chapterOrder"":3,""volumeSortOrder"":1,""chapterId"":""cmr24zob701rjv16zoa3pmbkg""}]","[{""summary"":""第3章阿条制定三条规则及附加条件。"",""chapterOrder"":3,""chapterId"":""cmr24zob701rjv16zoa3pmbkg""}]","[{""code"":""sync_stale"",""severity"":""medium"",""summary"":""本轮 AI 对账没有再次命中这条伏笔，已保留旧账本并标记为 stale，等待下一次同步确认。"",""stale"":true}]",刚建立，尚未在后续章节中应用。,0.9,2026-07-01T14:34:22.622+00:00,2026-07-06T02:31:52.524+00:00
cmr26ff3704f3v16zt9vn1af5,cmr23pgks000fv16zpwg1ms38,alibi_signal_system,暗号库系统,阿条开始建立暗号库，第一条候选为“苏打水”，后续将开发更多暗语用于秘密沟通。,volume,setup,4,35,3,3,cmr24zob701rjv16zoa3pmbkg,cmr24zob701rjv16zoa3pmbkg,,cmr26feyn04ebv16zh84ifjuv,"[{""kind"":""chapter_payoff_ref"",""refId"":null,""refLabel"":""第3章《天台夜话》"",""chapterId"":""cmr24zob701rjv16zoa3pmbkg"",""chapterOrder"":3,""volumeId"":null,""volumeSortOrder"":null}]","[{""summary"":""阿条在手机备忘录写下“暗号库待建。第一条候选:苏打水。”"",""chapterOrder"":3,""chapterId"":""cmr24zob701rjv16zoa3pmbkg""}]","[{""code"":""sync_stale"",""severity"":""medium"",""summary"":""本轮 AI 对账没有再次命中这条伏笔，已保留旧账本并标记为 stale，等待下一次同步确认。"",""stale"":true}]",暗语系统是维系秘密关系的关键工具，需要持续构建。,0.88,2026-07-01T14:34:22.626+00:00,2026-07-06T02:31:52.524+00:00
cmr26ffxl04g5v16ze9f2b8mt,cmr23pgks000fv16zpwg1ms38,secret_relationship_established,秘密关系确立,阿条在天台主导制定职场隐蔽规则，阿力接受，两人正式确立秘密恋爱关系。,chapter,paid_off,3,3,3,3,cmr24zob701rjv16zoa3pmbkg,cmr24zob701rjv16zoa3pmbkg,cmr24zob701rjv16zoa3pmbkg,cmr26feyn04ebv16zh84ifjuv,"[{""kind"":""chapter_payoff_ref"",""refId"":null,""refLabel"":""第3章《天台夜话》"",""chapterId"":""cmr24zob701rjv16zoa3pmbkg"",""chapterOrder"":3,""volumeId"":null,""volumeSortOrder"":null}]","[{""summary"":""阿条提出三条规则及附加条件，阿力同意，并说“谢谢你来”。"",""chapterOrder"":3,""chapterId"":""cmr24zob701rjv16zoa3pmbkg""}]",[],本章完成秘密关系确立的里程碑。,0.95,2026-07-01T14:34:23.721+00:00,2026-07-01T14:34:23.698+00:00
cmr26ffxo04g6v16zn5soxlhm,cmr23pgks000fv16zpwg1ms38,canteen_cipher,食堂暗语,食堂暗语规则最终确认，椅子偏移上限三厘米，阿条目标完成全套表演。,volume,pending_payoff,4,5,4,5,cmr24zobb01rlv16z1chjyonq,cmr24zob901rkv16z4obgdvth,,cmr26y8qz04ppv16zakxqwzrs,"[{""kind"":""chapter_payoff_ref"",""refId"":null,""refLabel"":""第5章《茶水间脱险》"",""chapterId"":""cmr24zobb01rlv16z1chjyonq"",""chapterOrder"":5,""volumeId"":null,""volumeSortOrder"":null}]","[{""summary"":""阿力和阿条通过微信确认食堂椅子偏移规则。"",""chapterOrder"":5,""chapterId"":""cmr24zobb01rlv16z1chjyonq""}]","[{""code"":""sync_stale"",""severity"":""medium"",""summary"":""本轮 AI 对账没有再次命中这条伏笔，已保留旧账本并标记为 stale，等待下一次同步确认。"",""stale"":true}]",规则已定，即将在下一章兑现。,0.92,2026-07-01T14:34:23.724+00:00,2026-07-06T02:31:52.524+00:00
cmr26ffxs04g7v16z33s9i4f8,cmr23pgks000fv16zpwg1ms38,ali_dont_guess_condition,阿力的条件“别让我猜”,阿力答应阿条所有规则后，要求她坦诚相待，别让他猜测她的真实想法。,chapter,setup,4,10,3,3,cmr24zob701rjv16zoa3pmbkg,cmr24zob701rjv16zoa3pmbkg,,cmr26feyn04ebv16zh84ifjuv,"[{""kind"":""chapter_payoff_ref"",""refId"":null,""refLabel"":""第3章《天台夜话》"",""chapterId"":""cmr24zob701rjv16zoa3pmbkg"",""chapterOrder"":3,""volumeId"":null,""volumeSortOrder"":null}]","[{""summary"":""阿力在天台认真地说出“别让我猜”四个字，作为他唯一的条件。"",""chapterOrder"":3,""chapterId"":""cmr24zob701rjv16zoa3pmbkg""}]","[{""code"":""sync_stale"",""severity"":""medium"",""summary"":""本轮 AI 对账没有再次命中这条伏笔，已保留旧账本并标记为 stale，等待下一次同步确认。"",""stale"":true}]",为未来可能因隐瞒或误解引发的冲突埋下伏笔。,0.85,2026-07-01T14:34:23.728+00:00,2026-07-06T02:31:52.524+00:00
cmr26ffxv04g8v16zgv57nof4,cmr23pgks000fv16zpwg1ms38,chenmo_recontact,陈默再次联系,陈默发来照片问候，阿条冷淡回应，旧缘联系持续但关系仍然疏远。,volume,pending_payoff,4,15,3,5,cmr24zobb01rlv16z1chjyonq,cmr24zob701rjv16zoa3pmbkg,,cmr26y8qz04ppv16zakxqwzrs,"[{""kind"":""chapter_payoff_ref"",""refId"":null,""refLabel"":""第5章《茶水间脱险》"",""chapterId"":""cmr24zobb01rlv16z1chjyonq"",""chapterOrder"":5,""volumeId"":null,""volumeSortOrder"":null}]","[{""summary"":""陈默发来上海办公室窗外照片，问‘杭州天气好吗？’，阿条仅回‘挺好’。"",""chapterOrder"":5,""chapterId"":""cmr24zobb01rlv16z1chjyonq""}]","[{""code"":""sync_stale"",""severity"":""medium"",""summary"":""本轮 AI 对账没有再次命中这条伏笔，已保留旧账本并标记为 stale，等待下一次同步确认。"",""stale"":true}]",陈默继续主动联系，但阿条态度冷淡，为后续发展保留空间。,0.86,2026-07-01T14:34:23.731+00:00,2026-07-06T02:31:52.524+00:00
cmr26fu3004gfv16zt3qtow2k,cmr23pgks000fv16zpwg1ms38,ali_true_attitude,阿力在这段关系中的真实态度,阿力当众宣称单人间，坐实彻底回避姿态。,volume,pending_payoff,35,40,14,40,cmr252pek0213v16zuwcfd0ck,cmr24zoc101ruv16zr0qqiis6,cmr252pek0213v16zuwcfd0ck,cmr8lt4hp0dinv16ztw5fne9q,"[{""kind"":""volume_open_payoff"",""refLabel"":""他在这段关系中的真实态度"",""chapterOrder"":1,""volumeSortOrder"":1,""chapterId"":""cmr24zoaz01rhv16zmcjv20hl""},{""kind"":""foreshadow_state"",""refLabel"":""阿力真实态度"",""chapterOrder"":40,""volumeSortOrder"":1,""chapterId"":""cmr252pek0213v16zuwcfd0ck""}]","[{""summary"":""第40章阿力当众宣称单人间，完全断绝同事合住可能。"",""chapterOrder"":40,""chapterId"":""cmr252pek0213v16zuwcfd0ck""}]","[{""code"":""payoff_missing_progress"",""severity"":""medium"",""summary"":""阿力真实态度仍未揭示，需在后续明确。""}]",回避姿态坐实，但真实态度未完全揭示。,0.7,2026-07-01T14:34:42.060+00:00,2026-07-06T02:31:52.524+00:00
cmr26fu3704ghv16zab10n1z3,cmr23pgks000fv16zpwg1ms38,ati_night_invitation,阿力的夜晚邀约,阿力邀约阿条夜晚天台见面，已兑现。,chapter,paid_off,,,1,3,cmr24zob701rjv16zoa3pmbkg,cmr24zoaz01rhv16zmcjv20hl,cmr24zob701rjv16zoa3pmbkg,cmr26feyn04ebv16zh84ifjuv,"[{""kind"":""foreshadow_state"",""refLabel"":""阿力的夜晚邀约"",""chapterOrder"":3,""volumeSortOrder"":1,""chapterId"":""cmr24zob701rjv16zoa3pmbkg""}]","[{""summary"":""第3章阿条赴约天台，邀约兑现。"",""chapterOrder"":3,""chapterId"":""cmr24zob701rjv16zoa3pmbkg""}]",[],已明确兑现。,1.0,2026-07-01T14:34:42.067+00:00,2026-07-01T14:34:42.032+00:00
cmr26fu3m04glv16zesgksfrj,cmr23pgks000fv16zpwg1ms38,ati_goal_shift,阿条目标转变,阿条从决定如何回应邀约转为执行秘密恋爱规则。,chapter,paid_off,,,3,3,cmr24zob701rjv16zoa3pmbkg,cmr24zob701rjv16zoa3pmbkg,cmr24zob701rjv16zoa3pmbkg,cmr26feyn04ebv16zh84ifjuv,"[{""kind"":""open_conflict"",""refLabel"":""阿条 goal changed"",""chapterOrder"":3,""volumeSortOrder"":1,""chapterId"":""cmr24zob701rjv16zoa3pmbkg""}]","[{""summary"":""第3章阿条制定规则，目标转变明确。"",""chapterOrder"":3,""chapterId"":""cmr24zob701rjv16zoa3pmbkg""}]",[],目标转变已在第3章明确触发。,0.95,2026-07-01T14:34:42.082+00:00,2026-07-01T14:34:42.032+00:00
cmr26fu3o04gmv16zhwm5qbxk,cmr23pgks000fv16zpwg1ms38,ali_goal_shift,阿力目标转变：保持回避但面临摊牌压力,阿力从保持回避拒绝对峙，转为继续保持回避但面临被摊牌的压力。,chapter,pending_payoff,,,30,30,cmr24zocw01sav16z8wprb5vx,cmr24zocw01sav16z8wprb5vx,cmr24zob701rjv16zoa3pmbkg,cmr35nume0c0qv16zavwu8h97,"[{""kind"":""open_conflict"",""refLabel"":""阿力 goal changed"",""chapterOrder"":30,""volumeSortOrder"":1,""chapterId"":""cmr24zocw01sav16z8wprb5vx""}]","[{""summary"":""第30章阿条摊牌消息发出，阿力面临压力。"",""chapterOrder"":30,""chapterId"":""cmr24zocw01sav16z8wprb5vx""}]","[{""code"":""sync_stale"",""severity"":""medium"",""summary"":""本轮 AI 对账没有再次命中这条伏笔，已保留旧账本并标记为 stale，等待下一次同步确认。"",""stale"":true}]",目标转变已触发，但尚未明确执行。,,2026-07-01T14:34:42.084+00:00,2026-07-06T02:31:52.524+00:00
cmr26fuge04gxv16z2orz6qjq,cmr23pgks000fv16zpwg1ms38,secret_rules_established,三条秘密关系规则,第3章创建了规则，后续将面临规则被挑战或破坏的风险。,chapter,setup,4,40,3,3,cmr24zob701rjv16zoa3pmbkg,cmr24zob701rjv16zoa3pmbkg,,cmr26feyn04ebv16zh84ifjuv,"[{""kind"":""foreshadow_state"",""refLabel"":""三条秘密关系规则"",""chapterOrder"":3,""volumeSortOrder"":1,""chapterId"":""cmr24zob701rjv16zoa3pmbkg""}]","[{""summary"":""第3章确立规则，尚未被挑战。"",""chapterOrder"":3,""chapterId"":""cmr24zob701rjv16zoa3pmbkg""}]","[{""code"":""sync_stale"",""severity"":""medium"",""summary"":""本轮 AI 对账没有再次命中这条伏笔，已保留旧账本并标记为 stale，等待下一次同步确认。"",""stale"":true}]",已建立铺垫，尚未进入兑现窗口。,0.9,2026-07-01T14:34:42.542+00:00,2026-07-06T02:31:52.524+00:00
cmr26fugh04gyv16ze40zziun,cmr23pgks000fv16zpwg1ms38,code_library_and_soda,暗号库与苏打水,暗语系统新增“稳”作为暗语，并通过深夜消息实战使用，系统进一步成熟，待食堂游戏兑现。,chapter,pending_payoff,4,40,4,6,cmr24zobd01rmv16z1nhh9ss5,cmr24zob901rkv16z4obgdvth,,cmr274qxw04skv16zz42ick5d,"[{""kind"":""chapter_payoff_ref"",""refId"":null,""refLabel"":""第6章《选择沉溺》"",""chapterId"":""cmr24zobd01rmv16z1nhh9ss5"",""chapterOrder"":6,""volumeId"":null,""volumeSortOrder"":null}]","[{""summary"":""阿条发送“稳”，阿力回复“你也稳”，成为双方懂的新暗语。"",""chapterOrder"":6,""chapterId"":""cmr24zobd01rmv16z1nhh9ss5""}]","[{""code"":""sync_stale"",""severity"":""medium"",""summary"":""本轮 AI 对账没有再次命中这条伏笔，已保留旧账本并标记为 stale，等待下一次同步确认。"",""stale"":true}]",本章在测试后首次正式使用暗语进行非计划沟通，推进系统实用化。,0.9,2026-07-01T14:34:42.544+00:00,2026-07-06T02:31:52.524+00:00
cmr26fugi04gzv16zdxhtb4a6,cmr23pgks000fv16zpwg1ms38,chen_mo_greeting,陈默的再次问候,陈默发来微信‘在忙吗？’，阿条回复‘刚吃完饭，你呢？’后中断对话，关系冷淡。,chapter,pending_payoff,4,40,1,4,cmr24zob901rkv16z4obgdvth,cmr24zoaz01rhv16zmcjv20hl,,cmr26psce04mov16zi89zlpdj,"[{""kind"":""chapter_payoff_ref"",""refId"":null,""refLabel"":""第4章《编码暗语》"",""chapterId"":""cmr24zob901rkv16z4obgdvth"",""chapterOrder"":4,""volumeId"":null,""volumeSortOrder"":null}]","[{""summary"":""陈默再次联系，阿条回复简短，未延续话题。"",""chapterOrder"":4,""chapterId"":""cmr24zob901rkv16z4obgdvth""}]","[{""code"":""sync_stale"",""severity"":""medium"",""summary"":""本轮 AI 对账没有再次命中这条伏笔，已保留旧账本并标记为 stale，等待下一次同步确认。"",""stale"":true}]",陈默仍尝试联系，但阿条已心不在焉，预示未来决裂。,0.8,2026-07-01T14:34:42.546+00:00,2026-07-06T02:31:52.524+00:00
cmr26fugn04h0v16z84qytam2,cmr23pgks000fv16zpwg1ms38,chapter1_hook_payoff,开卷抓手：办公室内几乎暴露的亲密瞬间,第1章建立禁忌感与悬念，已兑现。,chapter,paid_off,,,1,1,cmr24zoaz01rhv16zmcjv20hl,cmr24zoaz01rhv16zmcjv20hl,cmr24zoaz01rhv16zmcjv20hl,cmr26feyn04ebv16zh84ifjuv,"[{""kind"":""chapter_payoff_ref"",""refLabel"":""第1章《隔间心跳》开卷抓手"",""chapterOrder"":1,""volumeSortOrder"":1,""chapterId"":""cmr24zoaz01rhv16zmcjv20hl""}]","[{""summary"":""第1章已兑现几乎暴露的亲密瞬间。"",""chapterOrder"":1,""chapterId"":""cmr24zoaz01rhv16zmcjv20hl""}]",[],已明确兑现。,1.0,2026-07-01T14:34:42.551+00:00,2026-07-01T14:34:42.515+00:00
cmr26fugy04h1v16zdqhxjqlc,cmr23pgks000fv16zpwg1ms38,chapter2_hook_payoff,半兑现开篇钩子‘我们不能这样’的紧张,第2章将紧张转化为刺激兴奋，为第3章做准备。,chapter,paid_off,,,2,2,cmr24zob501riv16zlk7xxqvy,cmr24zob501riv16zlk7xxqvy,cmr24zob501riv16zlk7xxqvy,cmr26feyn04ebv16zh84ifjuv,"[{""kind"":""chapter_payoff_ref"",""refLabel"":""第2章《陌生演技》半兑现"",""chapterOrder"":2,""volumeSortOrder"":1,""chapterId"":""cmr24zob501riv16zlk7xxqvy""}]","[{""summary"":""第2章将紧张转化为刺激兴奋。"",""chapterOrder"":2,""chapterId"":""cmr24zob501riv16zlk7xxqvy""}]",[],已明确兑现。,1.0,2026-07-01T14:34:42.562+00:00,2026-07-01T14:34:42.515+00:00
cmr26fuh004h2v16z43e593nv,cmr23pgks000fv16zpwg1ms38,chapter3_transition_payoff,阿条从被动诱惑到主动掌控的转变,第3章兑现‘禁忌之始’的甜蜜刺激承诺，秘密关系正式确立。,chapter,paid_off,,,3,3,cmr24zob701rjv16zoa3pmbkg,cmr24zob701rjv16zoa3pmbkg,cmr24zob701rjv16zoa3pmbkg,cmr26feyn04ebv16zh84ifjuv,"[{""kind"":""chapter_payoff_ref"",""refLabel"":""第3章《天台夜话》兑现"",""chapterOrder"":3,""volumeSortOrder"":1,""chapterId"":""cmr24zob701rjv16zoa3pmbkg""}]","[{""summary"":""第3章确立秘密关系，完成心理转变。"",""chapterOrder"":3,""chapterId"":""cmr24zob701rjv16zoa3pmbkg""}]",[],已明确兑现。,1.0,2026-07-01T14:34:42.564+00:00,2026-07-01T14:34:42.515+00:00
cmr26g7db04hav16zcao39mqq,cmr23pgks000fv16zpwg1ms38,secret_semi_exposure,秘密半公开与职场毁灭性压力,秘密因突发事件被半公开，朋友圈和职场的压力瞬间拉满，面临毁灭性后果。,book,setup,,,,,,,,cmr269sr004b3v16zvdhpsups,"[{""kind"":""major_payoff"",""refLabel"":""秘密因某个突发事件被半公开，朋友圈和职场的压力瞬间拉满，面临毁灭性后果。"",""chapterId"":null}]",[],"[{""code"":""sync_stale"",""severity"":""medium"",""summary"":""本轮 AI 对账没有再次命中这条伏笔，已保留旧账本并标记为 stale，等待下一次同步确认。"",""stale"":true}]",书级重要节点，目前尚未有任何章节推进或铺垫。,,2026-07-01T14:34:59.279+00:00,2026-07-06T02:31:52.524+00:00
