id,planId,sortOrder,title,objective,conflict,reveal,emotionBeat,createdAt,updatedAt
cmr26gzqp04hrv16zoql8l36v,cmr268y3h04apv16z1un8z0jg,2,规则谈判,阿条一口气说出三条职场隐蔽规则及附加条件，阿力听完后非但没有反驳，反而全部接受，并郑重请求“别让我猜”，两人关系正式确立。,阿条制定的规则限制了阿力惯常的暧昧节奏，他本能地想讨价还价（如“加班后也不行吗？”），但阿条用“会被开除”的现实压力堵回；阿力最终妥协，却反手提出“别让我猜”的要求，将压力部分传回阿条。,阿力摘下平日轻松的面具，在阿条说规则时，他眼中闪过意外和欣赏，接受时甚至露出难得一见的真诚笑容，让阿条第一次感到他也有柔软之处；草莓糖纸作为信物被递出，象征关系进入新阶段。,试探、紧张、被接受的甜蜜、夹杂一丝对他真诚度的隐约不安。,2026-07-01T14:35:36.049+00:00,2026-07-01T14:35:36.049+00:00
cmr26gzqp04hsv16z7qo8q0tl,cmr268y3h04apv16z1un8z0jg,3,信物与暗语,阿力赠予草莓糖纸，两人约定明日食堂隔座暗语，然后因楼梯脚步声匆忙分开，阿条独自下楼，心态转为期待。,两人刚交换信物，天台门外传来脚步声和说话声，暴露危机突至；阿条本能想躲，被阿力拉住，用眼神示意镇定，两人迅速分开距离，等声音远去后才敢行动，最后阿力先走，阿条稍后离去，离别时无任何身体接触。,草莓糖纸被阿条攥在手心，糖纸的甜味和她狂跳的心跳形成对比，她意识到这场游戏正式开始；下楼梯时，她构思着明天食堂如何自然地说出“隔座”暗语，脸上不自觉浮出笑容，心态从恐惧转为兴奋。,暴露刹那的惊恐、劫后余生的刺激感、对明日游戏的期待与甜蜜。,2026-07-01T14:35:36.049+00:00,2026-07-01T14:35:36.049+00:00
cmr26ql2e04nyv16z2uevvzu3,cmr26ql2a04nxv16znhqmaagi,1,暗语邀约,阿条用暗语向阿力发出茶水间私会邀约，阿力领会并回应，确认行动方案,办公区同事在场，暗语必须简短隐蔽，且阿力能否准确解读存在微小风险,暗语系统实战启动，阿条初尝掌控感，阿力迅即回应显示默契成熟,发送暗语时的紧张与期待 → 收到回应后的隐秘兴奋,2026-07-01T14:43:03.589+00:00,2026-07-01T14:43:03.589+00:00
cmr26ql2e04nzv16z1wrw31uo,cmr26ql2a04nxv16znhqmaagi,2,隔间心跳,两人在茶水间储物隔间短暂独处，气氛紧张甜蜜，肢体近距接触攀升刺激,随时可能被发现的职场压力与渴望亲近的冲动对峙,阿条身体反应比意识更先进入冒险状态，阿力保持警觉但配合度极高,门关瞬间的窒息 → 黑暗中的心跳加速与快感 → 持续警惕中的甜蜜,2026-07-01T14:43:03.589+00:00,2026-07-01T14:43:03.589+00:00
cmr26ql2e04o0v16zz40lz1wt,cmr26ql2a04nxv16znhqmaagi,3,小菲突击,小菲脚步声突然闯入，阿条快速拉开距离，与阿力即兴表演普通同事闲聊,小菲目光狐疑并盘问，两人需在数秒内镇定应对，任何破绽都可能导致暴露,阿条急智能力被激发，阿力临场配合表现出默契极限,高跟鞋声的惊悚 → 表演时的强作镇定与生理颤抖 → 初步蒙混后短暂虚脱,2026-07-01T14:43:03.589+00:00,2026-07-01T14:43:03.589+00:00
cmr26ql2e04o1v16z3f5sgpbn,cmr26ql2a04nxv16znhqmaagi,4,错身暗语,小菲离开后两人错开返回工位，用暗语简短交换感受，为冒险收尾,必须在极短时间内交换信息，并控制兴奋表情避免引起其他同事注意,阿条对刺激上瘾，且明确期待下一次；阿力回应模糊但未撤退,劫后余生的战栗 → 暗语成功后的相视心照 → 独自回味时的后怕与得意交织,2026-07-01T14:43:03.589+00:00,2026-07-01T14:43:03.589+00:00
cmr26z4h104qyv16z0sex85z7,cmr26z4gk04qxv16zhf5t1yow,1,独处工位的回味与挣扎,阿条独自在工位区回味白天险情，内心在理性和诱惑间拉锯，最终主动发出联系消息。,理性告诫谎言终会穿帮，但刺激与甜蜜令她无法抗拒,阿条跨越心理门槛，按下发送键，从被动回味转为主动出击,紧张、犹豫、心跳加速→决然按下发送键,2026-07-01T14:49:41.989+00:00,2026-07-01T14:49:41.989+00:00
cmr26z4h304qzv16z7kvzitka,cmr26z4gk04qxv16zhf5t1yow,2,暗语确认与选择沉溺,收到阿力秒回后，阿条从等待的忐忑转为甜蜜坚定，在夜色中确认沉溺，但心头掠过一丝阴影。,等待回复的忐忑不安 vs 秒回带来的甜蜜冲击,不安被涌入的甜蜜冲散，她选择忽略阴影，确认沉溺,发送后的紧张等待→收到回复时心跳加快、嘴角上扬→收拾离开时脚步轻快→路灯下笑意中掠过一丝阴影,2026-07-01T14:49:41.989+00:00,2026-07-01T14:49:41.989+00:00
cmr276oar04umv16z8e3a5sik,cmr276oan04ulv16zosthskry,1,刻意绕道,阿条主动选择不与阿力同路午餐，反而邀请李响同行，开始暗中试探阿力的反应。,阿条内心渴望靠近阿力，却强压着这份欲望，故意用疏远来测试自己在阿力心中的分量，表面轻松但内心紧张。,阿力对阿条的绕道行为似乎毫无察觉，照常与同事说笑，这反而加剧阿条的不安和醋意。,故作活泼下的忐忑，期待落空后的轻微失落。,2026-07-01T14:55:34.275+00:00,2026-07-01T14:55:34.275+00:00
cmr276oar04unv16zdnueemxj,cmr276oan04ulv16zosthskry,2,午餐桌的冷冷一瞥,在午餐桌上，阿力无心称赞小菲，引爆阿条的嫉妒，阿条用加倍热情对待李响并以冷淡一瞥回应阿力。,阿条必须在众人面前维持开朗形象，但内心的酸涩让她对李响的笑容格外卖力，与阿力目光相接时，她刻意冷下眼神，截断一切交流。,阿力的称赞可能是无心之举，但阿条从中读到威胁，第一次意识到这段秘密关系中自己并非唯一能左右他目光的人，占有欲和脆弱感同时涌现。,强装的笑容下翻涌着嫉妒、酸涩，瞥视阿力后短暂复仇快感与随即涌上的失望。,2026-07-01T14:55:34.275+00:00,2026-07-01T14:55:34.275+00:00
cmr276oar04uov16z8w9hzfjt,cmr276oan04ulv16zosthskry,3,以冷制冷,饭后反思试探无效，收到团建通知后，阿条决定周末全程与阿力保持距离，用冷处理代替试探。,阿条在挫败中重新评估局面：继续主动刺激可能适得其反，但放任不管又难以忍受。团建的通知给了她一个新战场，她决定转守为攻，用彻底的冷淡保护自己并测试阿力。,阿条从依赖阿力回应的试探者，转变为主动划清距离的策略者，关系的掌控权在她心中发生了微妙转移。,从强打精神的失望，到谋划新策略时的冷静决绝，带着一丝自伤的倔强。,2026-07-01T14:55:34.275+00:00,2026-07-01T14:55:34.275+00:00
cmr27e6dy04x4v16zv2dm21yg,cmr27e6dt04x3v16zzzq9koex,1,清晨赴约：刻意疏离的启程,展示阿条决绝执行疏远策略，用行动拉开物理与心理距离。,内心渴望靠近阿力与理智要求保持距离的对抗。,阿条意识到自己的决心比预想中更坚定，但心跳的失控暴露了伪装下的不安。,紧张、克制、微妙的失落,2026-07-01T15:01:24.310+00:00,2026-07-01T15:01:24.310+00:00
cmr27e6dz04x5v16z2bf28n8t,cmr27e6dt04x3v16zzzq9koex,2,团队活动：人潮间的凝视偷渡,在分组活动中刻意避开，却在间隙捕捉到阿力的凝视，展现暗涌。,在人群中维持表面自然与暗中捕捉对方信号的矛盾。,阿力同样在暗中关注她，但每一次视线交汇又迅速弹开，加深了咫尺天涯的煎熬。,悸动、压抑、甜蜜而痛苦的眩晕,2026-07-01T15:01:24.310+00:00,2026-07-01T15:01:24.310+00:00
cmr27e6dz04x6v16z8zjkfzvw,cmr27e6dt04x3v16zzzq9koex,3,午餐拼桌：碰杯时三秒的共谋,通过公共场合的表演性疏远和极短的眼神交缠，传递“我仍在”的暗号。,必须与同事谈笑风生，却将真正的交流压缩成碰杯时的数秒凝视。,尽管有默契，但这种压缩的交流反而让阿条感到两人正被拉得更远，孤独感初显。,表面欢快，内心空洞，瞬间的温暖后是更深的凉意,2026-07-01T15:01:24.310+00:00,2026-07-01T15:01:24.310+00:00
cmr27e6dz04x7v16zz9oh1qm6,cmr27e6dt04x3v16zzzq9koex,4,好友散步：随口试探与心惊敷衍,通过李晴的询问引入外界怀疑视角，迫使阿条面对谎言向好友蔓延的现实。,想对好友坦白与必须严守秘密的激烈挣扎。,阿条首次发现，伪装已不再是两个人的游戏，她正开始对最亲近的朋友说谎。,心虚、警惕、一丝愧疚,2026-07-01T15:01:24.310+00:00,2026-07-01T15:01:24.310+00:00
cmr27e6dz04x8v16zi2jt740s,cmr27e6dt04x3v16zzzq9koex,5,晚餐游戏：被迫协作下的切割与试探,在游戏机制下与阿力间接互动，不得不传递道具或回答问题，展现强装镇定下的身心俱疲。,必须完成游戏任务却要避免任何亲密嫌疑，每句话都在切割关系同时试探对方态度。,两人的高度默契在协作中自然流露又立即被压抑，阿条感到这种反复表演极度耗竭心力。,高度紧张、疲惫、近乎麻木的机械表演,2026-07-01T15:01:24.310+00:00,2026-07-01T15:01:24.310+00:00
cmr27e6dz04x9v16zwek3gnmo,cmr27e6dt04x3v16zzzq9koex,6,深夜窗前：玻璃镜中的清醒,在喧闹背景中独自面对窗帘倒影，卸下全部表演，完成认知转折。,窗外同事的欢闹与内心无边孤寂的强烈对比。,阿条终于承认，这种双面生活才刚开始，而未来某天他们可能连眼神都传递不出去，猜疑的种子开始发芽。,落寞、觉悟、夹杂恐惧的清醒,2026-07-01T15:01:24.310+00:00,2026-07-01T15:01:24.310+00:00
cmr27zg7404zsv16zhg9rcqzy,cmr27zg7004zrv16zc5e6ceg6,1,李晴端着咖啡走过来,通过李晴的试探性闲聊，让阿条意识到同事已察觉她和阿力的不自然，同事怀疑从隐形变为显性压力。,阿条想掩饰心不在焉，但李晴半开玩笑的提问直击要害，她必须迅速编造理由，同时内心警铃大作。,李晴点出阿条和阿力近来不自然，证实同事的观察已超出普通职场的泛泛关心。,从午休的恍惚到被突然点醒的紧张，心跳漏拍，强装镇定，掩饰下的慌乱。,2026-07-01T15:17:56.800+00:00,2026-07-01T15:17:56.800+00:00
cmr27zg7404ztv16zxci0ozlh,cmr27zg7004zrv16zc5e6ceg6,2,递文件折射的冰冷距离,展现阿条主动试探阿力，却遭遇极端冷漠，揭示表演策略对阿条的反噬——阿力似乎真的在把她当陌生人。,阿条试图用递文件创造接触，但阿力连眼神都不给，只淡漠回应‘放那儿吧’，彻底打破她期待的任何微小默契。,阿力在办公室内严格执行陌生人规则，没有任何暗号或变通，令阿条原本依赖的暗语系统失效。,从期待接触的紧张，到被无视的刺痛，凉意蔓延，自我怀疑开始滋生。,2026-07-01T15:17:56.800+00:00,2026-07-01T15:17:56.800+00:00
cmr27zg7404zuv16zjw0p8jl4,cmr27zg7004zrv16zc5e6ceg6,3,凉意蔓延与回避信号,通过阿条的内心反应和结尾暗示，固化同事怀疑升级与阿力持续回避的双重压力，将不确定性推至高点。,阿条克制住质问的冲动，翻看聊天记录却毫无解释，李晴的话在脑中回响，她必须决定接下来是继续观察还是行动，但阿力走向楼梯间的背影暗示回避将持续。,阿条首次意识到自己可能失去对游戏的控制，冰冷现实击碎了她之前的主动沉溺心态。,克制冲动中的无力感，被孤立的寒意，结尾无声的悬念——回避将继续，未来更加疲惫。,2026-07-01T15:17:56.800+00:00,2026-07-01T15:17:56.800+00:00
cmr2869u3052sv16z2mbwjvjl,cmr2869tz052rv16zw2vyhruc,1,清晨办公室：眼神落空,建立阿力持续回避的冷感，让阿条从进入办公室的瞬间就感受到异样的距离。,阿条习惯性地寻找阿力的位置，期待一个默契的对视，但阿力低头或转身，刻意避开目光接触，像突然关闭的通道。,阿力一改往日就算不主动也会接住眼神的习惯，此刻完全撤回所有非语言信号，冷落从细节开始渗透。,困惑—>轻微失落,2026-07-01T15:23:15.147+00:00,2026-07-01T15:23:15.147+00:00
cmr2869u3052tv16zxbsxgj53,cmr2869tz052rv16zw2vyhruc,2,午休：独自下楼与婉拒约饭,通过对比强化孤立感，让阿条体会到被排斥在阿力日常之外。,午休时阿力拿起外套独自下楼，未向阿条示意；李晴等同事约饭，阿条以不饿婉拒，一人留在工位，周围热闹与她无关。,阿力不仅回避互动，连以往默许的共处空间也主动避开；阿条开始觉得自己在团队中成为孤岛。,试探性等待—>轻微委屈,2026-07-01T15:23:15.147+00:00,2026-07-01T15:23:15.147+00:00
cmr2869u3052uv16zrb6z13qx,cmr2869tz052rv16zw2vyhruc,3,下午：被拒的午餐邀约与克制观察,通过阿条主动邀约受挫，将冷落升级为明确拒绝，并展现她转向消极观察。,阿条编辑消息约阿力午饭，犹豫后发出，只收到一个字“忙”；她表面平静，整个下午用眼角余光捕捉阿力每一个细微的回避动作，同时维持工作常态。,阿力用最吝啬的方式切断私下连接，阿条首次尝到被硬生生推开的滋味；她开始从参与者退为观察者，猜疑萌芽。,紧张期待—>刺痛—>压抑不安,2026-07-01T15:23:15.147+00:00,2026-07-01T15:23:15.147+00:00
cmr2869u3052vv16zjfdtefpv,cmr2869tz052rv16zw2vyhruc,4,夜晚：独处时的凉意与怀疑萌芽,在独自空间里让累积的冷感发酵，通过回忆对比使不安转为对关系真实性的质疑，并做出不再主动的决定。,阿条翻看聊天记录，发现从密集暗语到只言片语的断裂，一两个敏感暗语画面闪过；站在窗前，外面灯火温暖，内心凉意蔓延，她对自己说不要再主动了，但一个念头压不下去：他是不是有什么瞒着我？,回忆里的默契反衬出现实的冰冷，阿条从期待转向自我告诫，而怀疑像一根刺扎进心底，为对峙埋下种子。,疲惫—>怀念—>心寒—>决意与怀疑交织,2026-07-01T15:23:15.147+00:00,2026-07-01T15:23:15.147+00:00
cmr30mtvs0ak9v16zly5h7d6x,cmr30mtvo0ak8v16zn8do72xi,1,加班结束后的冲动跟进,展现阿条看到阿力独自行走时，内心挣扎并最终打破自我约定，冲动地跟上他。,阿条的理性（不再主动的约定）与情感（不安与渴望确认）之间的拉锯战。,阿条的自我约定在不安面前不堪一击，她无法忍受被动等待。,从疲惫无感到心跳加速，犹豫几秒后转为决然，带着不安和一丝祈求解脱的冲动。,2026-07-02T04:39:56.872+00:00,2026-07-02T04:39:56.872+00:00
cmr30mtvs0akav16zpx4tqgnq,cmr30mtvo0ak8v16zn8do72xi,2,电梯内的敷衍对峙,阿条主动开口质问，阿力以冷淡敷衍回应，将她的模糊不安转化为具体的被拒绝感。,阿条渴望得到解释或一丝关心，阿力却用简短言辞和回避眼神筑起高墙。,阿力的回避并非偶然，而是有意的疏远，阿条确认自己被冷落的事实。,开口前的紧张与喉咙发紧，问话时的脆弱与期待，得到敷衍后的失望与微微受伤，阿力回避眼神时的冰冷感，逐渐升起的愤怒与自尊心。,2026-07-02T04:39:56.872+00:00,2026-07-02T04:39:56.872+00:00
cmr30mtvt0akbv16zjoc3f83b,cmr30mtvo0ak8v16zn8do72xi,3,提前退出的背影抗议,阿条在愤怒中提前退出电梯，用快步离开的背影表达抗议，将内心的不满转化为行动。,阿条不愿继续在狭小空间里示弱，用提前离开来夺回一点自尊，但实际上更像是落荒而逃。,阿条的赌气行为表明她已无法维持表面的平静，关系裂痕进一步公开化（即使只有他们两人）。,电梯楼层数字跳动时的憋闷，突然按键时的决绝，走出电梯时挺直的背脊，快步走时心里堵得慌，眼眶微热但忍住泪水。,2026-07-02T04:39:56.872+00:00,2026-07-02T04:39:56.872+00:00
cmr30mtvt0akcv16zfrk1a712,cmr30mtvo0ak8v16zn8do72xi,4,失眠中的猜疑具体化与测试萌芽,让阿条在独处的夜晚反复回想对峙场景，将模糊的不安转化为具体猜疑，并萌生测试阿力的念头。,失眠时，理智试图分析阿力行为，但情绪不断放大受伤感，最后在无解中生出主动试探的念头。,猜疑从‘他是不是有事’变为‘他在故意冷落我，背后可能隐藏什么’，并孵化出‘测试’这一应对策略。,躺在床上翻来覆去，黑暗中细节放大的烦躁，回忆每一秒的委屈与不甘，凌晨微光中突然坐起，心里涌起一股冷酷的决心，带着报复性的快感。,2026-07-02T04:39:56.872+00:00,2026-07-02T04:39:56.872+00:00
cmr30uptr0an8v16ztcdxvyge,cmr30uptn0an7v16zbicinsq5,1,试探的开端：公开说笑,阿条在办公室公共区域故意与小刘说笑，启动测试，观察阿力是否注意。,阿条内心紧张，表面自然，在表演和希望之间拉扯，害怕阿力完全无动于衷。,阿力从工位抬头看了他们一眼，目光平静，然后转开。,期待与焦虑交织，心跳加快，强制让自己笑得自然。,2026-07-02T04:46:04.863+00:00,2026-07-02T04:46:04.863+00:00
cmr30uptr0an9v16zhbg0wd47,cmr30uptn0an7v16zbicinsq5,2,目光相撞即错开,阿条迎上阿力的目光，试图与之对视，却遭遇迅速回避，确证疏远。,阿条渴望得到回应对视，但阿力像躲避陌生人一样移开视线，她感到被拒绝的刺痛。,阿力主动切断目光接触，表明疏远是有意为之，不是加班忙碌的偶然。,瞬间的受伤，随后转为不甘与赌气，笑容消失。,2026-07-02T04:46:04.863+00:00,2026-07-02T04:46:04.863+00:00
cmr30uptr0anav16zyfgpllp7,cmr30uptn0an7v16zbicinsq5,3,执念的起点：不再看他，却在等待,阿条收起笑容，赌气不再看阿力，但下班后在空旷办公室独自等待，手机震动不断勾起执念。,表面平静克制，内心却无法停止期望阿力会来解释，每一次手机震动都在希望与害怕间撕扯。,猜疑从“他为什么回避”正式升级为“他在隐瞒什么，而我等他解释”的执念。,克制下的煎熬，渴望与恐惧并存，孤独感加重。,2026-07-02T04:46:04.863+00:00,2026-07-02T04:46:04.863+00:00
cmr315s090aqvv16zji2bp4kp,cmr315s060aquv16zixcmt50q,1,暴风雨前的留意,展现议论爆发前阿条对阿力的暗中留意，以及办公室表面平静下的异样氛围，为她偷听同事议论做好情绪铺垫。,阿条内心渴望得到阿力的反应或解释，但阿力持续冷漠，她只能自我克制，同时李晴的目光让她感到被观察的压力。,阿条发现阿力与小菲正常交谈时，她的嫉妒已从刺痛转为麻木，预示她对这段关系的期待正在被消耗。,克制中的疲惫与微弱的不安,2026-07-02T04:54:40.905+00:00,2026-07-02T04:54:40.905+00:00
cmr315s090aqwv16z534y87xc,cmr315s060aquv16zixcmt50q,2,茶水间的判词,通过阿条在茶水间偷听到同事的具体议论，将外部怀疑直接砸向她，触发强烈的身体反应和恐慌。,阿条无意中听到同事以她与阿力为话题，明确说出“他们绝对有事”“最近刻意躲着更奇怪”，并提及具体事件，她的秘密世界猛然从内部坍塌到外部。,同事的议论证实了猜疑已不是个人敏感，而是多人共识，阿条意识到暴露已近在咫尺。,震惊与窒息感，手指攥紧杯子到发白,2026-07-02T04:54:40.905+00:00,2026-07-02T04:54:40.905+00:00
cmr315s090aqxv16zq7ydjw5h,cmr315s060aquv16zixcmt50q,3,即刻筑墙,展现阿条在偷听后立即做出的回避决定，并通过具体行动实施回避，切断所有可能的接触。,阿条必须强行扭转自己的行为模式，对抗内心仍想捕捉阿力反应的惯性，用物理距离建立防护。,回避行为本身让阿条感受到一种冰冷的控制感，但也加深了孤立，她意识到自己正在单方面为保护关系而收缩自己。,决绝中的沉重，伴随回忆闪现时的心悸,2026-07-02T04:54:40.905+00:00,2026-07-02T04:54:40.905+00:00
cmr315s090aqyv16zqmlwp3xu,cmr315s060aquv16zixcmt50q,4,独处时的坍塌,在独处环境中，让恐慌蔓延，甜蜜回忆被悲观预感彻底覆盖，为下一章质问积蓄情绪张力。,阿条试图用回忆中的甜蜜安抚自己，但每一段记忆都被同事的议论玷污，恐慌像潮水般上涨，她无力阻止对关系终结的想象。,阿条首次明确预感这段关系可能会以最不堪的方式暴露并结束，而她仍在执念中等待解释，形成尖锐的内心撕裂。,恐慌蔓延至麻木，疲惫中的绝望预感,2026-07-02T04:54:40.905+00:00,2026-07-02T04:54:40.905+00:00
cmr31dk2a0atxv16z9epv1sac,cmr31dk260atwv16zuuhohqdp,1,深夜质问的开端,阿条在独处时情绪爆发，发送第一条质问消息，打破隐忍。,她内心挣扎是否要发，恐惧撞上冷墙，但积累的委屈压过理智。,她首次直接质问阿力‘你是不是在躲我？’‘为什么突然这样？’，将隐瞒问题摆上台面。,紧张→下定决心→发完消息后的期待与不安,2026-07-02T05:00:43.858+00:00,2026-07-02T05:00:43.858+00:00
cmr31dk2a0atyv16zdnhbixkq,cmr31dk260atwv16zuuhohqdp,2,冷墙初现,阿力简短回复后，阿条从期待的波动跌入失望，但坚持追问。,阿力回复‘别多想，为大家好’，用集体利益作为挡箭牌，阿条无法接受这种模糊解释。,阿条看清阿力不愿正面沟通的态度，但仍不甘心，追问‘为大家好就一定要这样对我？’,收到回复的瞬间期待→看到内容后失望→质疑与不甘→继续追问,2026-07-02T05:00:43.858+00:00,2026-07-02T05:00:43.858+00:00
cmr31dk2a0atzv16zp1ulerau,cmr31dk260atwv16zuuhohqdp,3,已读不回的沉默,阿力已读不回，阿条连续发送多条消息，从埋怨升级为指责。,阿条的愤怒与阿力沉默的对抗，她越说越激动，却得不到任何回应。,她首次直接指责阿力‘冷暴力’，并流露‘是不是只有我一直在乎’的脆弱。,等待的焦虑→确认已读后的愤怒→指责与埋怨→偶尔恳求，情绪起伏,2026-07-02T05:00:43.858+00:00,2026-07-02T05:00:43.858+00:00
