id,novelId,chapterId,auditType,overallScore,summary,legacyScoreJson,createdAt,updatedAt
cmr3186ze0ar5v16zjmf06rcm,cmr23pgks000fv16zpwg1ms38,cmr24zoc001rtv16zdbja58rs,character,82,本章主线情绪推进扎实，偷听与回避转变自然，但多项计划义务（陈默出场、payoff touches、朋友关心）未兑现，需局部补丁后继续。,"{""coherence"":80,""repetition"":85,""pacing"":82,""voice"":84,""engagement"":83,""overall"":82,""acceptanceStatus"":""repairable"",""continuePolicy"":""repair_once"",""riskTags"":[""missing_payoff_touches"",""missing_character_appearance"",""friend_care_flat""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""修补后陈默出场和payoff兑现会新增可记录资产，但无颠覆性伏笔变动。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[{""mode"":""patch"",""target"":""plot"",""instruction"":""在正文中后段（如阿条回避后或傍晚）插入陈默的微信消息确认聚会时间地点，同时让阿条在内心闪回暗语规则却主动放弃使用，以兑现所有缺失的payoff touches和角色出场；在结尾前增加李晴的简短关心互动。""}]}",2026-07-02T04:56:33.626+00:00,2026-07-02T04:56:33.626+00:00
cmr31ahe60ardv16zc9bij80c,cmr23pgks000fv16zpwg1ms38,cmr24zoc001rtv16zdbja58rs,plot,83,本章主线成立，偷听与回避转变完成度高，但部分必需伏笔触达不足，可通过局部补丁修复。,"{""coherence"":85,""repetition"":82,""pacing"":80,""voice"":85,""engagement"":83,""overall"":83,""acceptanceStatus"":""continue_with_risk"",""continuePolicy"":""repair_once"",""riskTags"":[""missing_payoff_touches"",""lacking_upper_monitor_stress""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""有偷听与回避等重要推进，但无重大伏笔断裂风险。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[{""mode"":""patch"",""target"":""plot"",""instruction"":""在正文以下位置嵌入心理描写：1）阿条收到陈默微信时，增加对聚会可能暴露关系的瞬间不安；2）阿条决定不用暗语时，浮现‘苏打水’‘芒果’等暗语记忆；3）在回忆阿力时插入‘别让我猜’的条件；4）中午不去食堂时，想起食堂隔座暗语规则；5）王总过问数据时，增加一句阿条因担心被审视而心跳加速的细节。以上修补均保持在200字以内，不改变现有情节走向。""}]}",2026-07-02T04:58:20.430+00:00,2026-07-02T04:58:20.430+00:00
cmr31g9zo0au4v16zd4dtphz0,cmr23pgks000fv16zpwg1ms38,cmr24zoc101ruv16zr0qqiis6,plot,69,主线质问与冷墙成立，但正文出现严重文本重复，且缺失李晴目标变化、陈默出场等必须义务，需局部修复。,"{""coherence"":65,""repetition"":50,""pacing"":74,""voice"":80,""engagement"":78,""overall"":69,""acceptanceStatus"":""repairable"",""continuePolicy"":""repair_once"",""riskTags"":[""obligation_gap"",""text_duplication""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章推进了关系破裂的关键一步，但修补后无需全量伏笔对账。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[{""mode"":""rewrite"",""target"":""plot"",""instruction"":""删除“她等。这次她等了十分钟。……”之后的所有重复段落，重新组织该处的等待与自我对话，保持一次流畅的质问→等待→失望→最终绝望的推进，避免内容回退。""},{""mode"":""patch"",""target"":""character"",""instruction"":""在不破坏质问主线的前提下，插入李晴再度发消息（如“要不明天午饭聊聊？”）体现其关心升级，以及陈默的微信震动（如询问聚会确认），体现必须出场。""}]}",2026-07-02T05:02:50.771+00:00,2026-07-02T05:02:50.771+00:00
cmr31g9zr0au6v16zi70z1sic,cmr23pgks000fv16zpwg1ms38,cmr24zoc101ruv16zr0qqiis6,continuity,69,主线质问与冷墙成立，但正文出现严重文本重复，且缺失李晴目标变化、陈默出场等必须义务，需局部修复。,"{""coherence"":65,""repetition"":50,""pacing"":74,""voice"":80,""engagement"":78,""overall"":69,""acceptanceStatus"":""repairable"",""continuePolicy"":""repair_once"",""riskTags"":[""obligation_gap"",""text_duplication""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章推进了关系破裂的关键一步，但修补后无需全量伏笔对账。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[{""mode"":""rewrite"",""target"":""plot"",""instruction"":""删除“她等。这次她等了十分钟。……”之后的所有重复段落，重新组织该处的等待与自我对话，保持一次流畅的质问→等待→失望→最终绝望的推进，避免内容回退。""},{""mode"":""patch"",""target"":""character"",""instruction"":""在不破坏质问主线的前提下，插入李晴再度发消息（如“要不明天午饭聊聊？”）体现其关心升级，以及陈默的微信震动（如询问聚会确认），体现必须出场。""}]}",2026-07-02T05:02:50.775+00:00,2026-07-02T05:02:50.775+00:00
cmr31k0v00audv16z5z8gn8oj,cmr23pgks000fv16zpwg1ms38,cmr24zoc101ruv16zr0qqiis6,character,82,质问主线完成度高，但部分角色目标转变和必需出场缺失，可通过局部修补解决。,"{""coherence"":83,""repetition"":85,""pacing"":76,""voice"":84,""engagement"":82,""overall"":82,""acceptanceStatus"":""repairable"",""continuePolicy"":""repair_once"",""riskTags"":[""character_goal_unclear"",""obligation_gap""],""assetSyncRecommendation"":{""priority"":""high"",""reason"":""本章是关系破裂关键转折点，阿条状态转变需即时同步，并标记李晴、阿力目标为待更新。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[{""mode"":""patch"",""target"":""character"",""instruction"":""在质问前插入一段公司白天速写：王总分派任务给阿力和小菲，阿条目睹后内心波澜；同时让李晴的消息中透露已决定找阿条谈话。阿力则在收到质问时有一个微动作特写。""}]}",2026-07-02T05:05:45.564+00:00,2026-07-02T05:05:45.564+00:00
cmr31pnrl0awtv16z8zutwawo,cmr23pgks000fv16zpwg1ms38,cmr24zoc301rvv16zsof6hdh2,mode_fit,84,本章成功完成从期待到决绝的心理转折，冷暴力具象化清晰，结尾为下一章压力铺垫到位，正文可直接推进。,"{""coherence"":85,""repetition"":90,""pacing"":82,""voice"":82,""engagement"":83,""overall"":84,""acceptanceStatus"":""accepted"",""continuePolicy"":""continue"",""riskTags"":[""李晴过早获悉秘密关系可能削弱后续同事试探的神秘感，需在下一章调整压力来源""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章推进了阿条和李晴的核心状态变化，陈默聚会确认，暗语回忆出现，但无紧急同步需求。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[]}",2026-07-02T05:10:08.529+00:00,2026-07-02T05:10:08.529+00:00
cmr31xus80b00v16zpurw1us9,cmr23pgks000fv16zpwg1ms38,cmr24zoc501rwv16zvt0vmmu0,mode_fit,84,本章成功完成了咖啡试探事件，阿条的心理防线建立自然，钩子清晰，可继续推进。,"{""coherence"":85,""repetition"":88,""pacing"":82,""voice"":84,""engagement"":83,""overall"":84,""acceptanceStatus"":""continue_with_risk"",""continuePolicy"":""continue"",""riskTags"":[""group_test_scene""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章有明确的剧情推进和角色状态更新，但无明显需要紧急对账的伏笔。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[]}",2026-07-02T05:16:30.872+00:00,2026-07-02T05:16:30.872+00:00
cmr323wm50b2jv16zqete469j,cmr23pgks000fv16zpwg1ms38,cmr24zoc701rxv16z1uyp5r52,mode_fit,84,章节完整执行团队聚餐疏离策略，推进阿条内心转折，符合所有结构义务与禁止项，无明显阻断性问题。,"{""coherence"":85,""repetition"":88,""pacing"":80,""voice"":84,""engagement"":83,""overall"":84,""acceptanceStatus"":""accepted"",""continuePolicy"":""continue"",""riskTags"":[],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章推进了聚餐场景与阿条内心转折，但无新伏笔或急迫对账需求。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[]}",2026-07-02T05:21:13.181+00:00,2026-07-02T05:21:13.181+00:00
cmr32bl9o0b4nv16z3vidqse7,cmr23pgks000fv16zpwg1ms38,cmr24zoc901ryv16zxu2sbz7r,mode_fit,84,章节主线准确完成，按掉来电且已读不回的心理转折清晰，结尾钩子有效建立，可直接继续。,"{""coherence"":88,""repetition"":84,""pacing"":80,""voice"":85,""engagement"":82,""overall"":84,""acceptanceStatus"":""accepted"",""continuePolicy"":""continue"",""riskTags"":[""pacing_slow"",""repetition_minor""],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章推进了阿条心理转折和关系状态，为下章合作冲突铺垫，但无新资产或复杂伏笔，正常同步即可。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[]}",2026-07-02T05:27:11.724+00:00,2026-07-02T05:27:11.724+00:00
cmr32mckz0b73v16zatc6rblo,cmr23pgks000fv16zpwg1ms38,cmr24zocb01rzv16zba9tkamt,character,83,本章通过茶水间试探与会议中的暗中较劲，完成了阿条主动出击与关系冰裂的核心任务，但必须角色陈默未出场，需补丁修复。,"{""coherence"":85,""repetition"":88,""pacing"":80,""voice"":83,""engagement"":82,""overall"":83,""acceptanceStatus"":""repairable"",""continuePolicy"":""repair_once"",""riskTags"":[],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""关系状态从冷战转为猜疑拉扯，可记录为剧情推进，但无需立即全量伏笔对账。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[{""mode"":""patch"",""target"":""character"",""instruction"":""在正文中插入一处陈默的出场：可通过微信消息、电话震动未接、或阿条扫一眼锁屏通知等细节，内容围绕周六聚会提醒，篇幅控制在30字以内，不打断主情绪流。""}]}",2026-07-02T05:35:33.683+00:00,2026-07-02T05:35:33.683+00:00
cmr32ort10b7av16zpe5ag4kd,cmr23pgks000fv16zpwg1ms38,cmr24zocb01rzv16zba9tkamt,mode_fit,89,本章严格完成茶水间试探事件，情绪弧从伪装轻松到失望、决绝、冰冷收场自然完整，关系彻底转为猜疑拉扯，所有硬合同义务均已满足，无需修复。,"{""coherence"":92,""repetition"":89,""pacing"":87,""voice"":91,""engagement"":88,""overall"":89,""acceptanceStatus"":""accepted"",""continuePolicy"":""continue"",""riskTags"":[],""assetSyncRecommendation"":{""priority"":""normal"",""reason"":""本章推进了关系状态，但无急剧转折，资产同步常规即可。"",""requiresFullPayoffReconcile"":false},""repairDirectives"":[]}",2026-07-02T05:37:26.725+00:00,2026-07-02T05:37:26.725+00:00
