id,novelId,chapterId,sourceSnapshotId,sourceIssueId,sourceType,conflictType,conflictKey,title,summary,severity,status,evidenceJson,affectedCharacterIdsJson,resolutionHint,lastSeenChapterOrder,createdAt,updatedAt
cmr26k45v04j8v16zzxz7uzkf,cmr23pgks000fv16zpwg1ms38,cmr24zob901rkv16z4obgdvth,,cmr26k45n04j7v16zxw6k0149,audit_issue,plot,plot:supervision_missing:正文没有展示王总或公司制度对阿条阿力造成监控压力，而任务要求体现'上下级监控'这一状态。,plot/supervision_missing,正文没有展示王总或公司制度对阿条阿力造成监控压力，而任务要求体现'上下级监控'这一状态。,low,resolved,"[""正文没有展示王总或公司制度对阿条阿力造成监控压力，而任务要求体现'上下级监控'这一状态。""]",,在王总开会或日常场景中加入一两个细节，如王总视线停留或对二人同组的注意，暗示监控存在但未被触发。,4,2026-07-01T14:38:01.747+00:00,2026-07-01T14:39:45.810+00:00
cmr26mcgj04knv16zk9ntqklq,cmr23pgks000fv16zpwg1ms38,cmr24zob901rkv16z4obgdvth,,cmr26mcga04kmv16z8fjzq8rs,audit_issue,character,character:missing_preserve_trait:阿条看到陈默消息时直接冷淡回复，内心无任何怀念波动，与 must preserve 的“阿条：怀念的过去”轻微冲突。,character/missing_preserve_trait,阿条看到陈默消息时直接冷淡回复，内心无任何怀念波动，与 must preserve 的“阿条：怀念的过去”轻微冲突。,low,open,"[""阿条看到陈默消息时直接冷淡回复，内心无任何怀念波动，与 must preserve 的“阿条：怀念的过去”轻微冲突。""]",,在阿条看到陈默消息或回复时，补入一句极短的内心独白或下意识动作，体现她仍有一丝怀念但主动切断。,4,2026-07-01T14:39:45.811+00:00,2026-07-01T14:39:45.811+00:00
cmr26mnla04lvv16znrzk5ies,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,cmr261wze048bv16zho19qw9d,cmr26mnko04ltv16z0tga7q2x,audit_issue,plot,plot:plot_abrupt_incident:阿力突然将阿条拉入隔间的动机缺乏即时铺垫，可能影响情节合理感。,plot/plot_abrupt_incident,阿力突然将阿条拉入隔间的动机缺乏即时铺垫，可能影响情节合理感。,low,resolved,"[""阿条在取咖啡粉时，阿力毫无征兆地将她拉入隔间，没有交代他为什么这么做。""]",,加入阿力听到脚步声或低声提示的细节，使行动有明确触发点。,1,2026-07-01T14:40:00.238+00:00,2026-07-01T14:40:04.409+00:00
cmr26mspg04m9v16zpr9gdewi,cmr23pgks000fv16zpwg1ms38,cmr24zocf01s1v16zorowoe4i,cmr33aw9p0bdmv16z8bg0bkb6,,payoff_ledger,payoff_missing_progress,payoff:ajiao_taboo_consciousness:payoff_missing_progress,payoff/payoff_missing_progress,伏笔“阿条的禁忌自觉与风险意识”存在专项风险：需后续加入更具体的风险事件来触发禁忌自觉的成长。,low,open,"[""第6章阿条预感会穿帮，但尚未有具体风险事件。""]",[],为该伏笔补上明确推进动作，避免账本继续停滞。,21,2026-07-01T14:40:06.867+00:00,2026-07-06T02:31:52.679+00:00
cmr26p0d104mgv16z1ve1wn6u,cmr23pgks000fv16zpwg1ms38,cmr24zobd01rmv16z1nhh9ss5,cmr26feyn04ebv16zh84ifjuv,,payoff_ledger,payoff_missing_progress,payoff:first_trust_crisis_and_hidden_reason:payoff_missing_progress,payoff/payoff_missing_progress,伏笔“第一次信任危机与隐瞒真相”存在专项风险：已到卷末，但尚未明确展示争吵场景，需在后续章节兑现。,medium,open,"[""第10章开始冷落与猜疑，阿力隐瞒态度初现。""]",[],为该伏笔补上明确推进动作，避免账本继续停滞。,40,2026-07-01T14:41:50.101+00:00,2026-07-06T02:31:52.675+00:00
cmr26psd304myv16zhiaumd4h,cmr23pgks000fv16zpwg1ms38,cmr24zob901rkv16z4obgdvth,cmr26psce04mov16zi89zlpdj,,state_diff,character_goal_shift,character_goal_shift:cmr23zj4j004tv16zlc1ewt6u,阿条 goal changed,"阿条 current goal changed from ""执行秘密恋爱规则，准备明日食堂暗语，在同事眼皮下继续游戏。"" to ""成功测试暗语系统，为明日食堂暗语游戏确认规则"". Confirm this chapter includes a clear transition trigger.",medium,resolved,"[""Previous goal: 执行秘密恋爱规则，准备明日食堂暗语，在同事眼皮下继续游戏。"",""Previous state: 阿条主动制定规则，从被动卷入者变为关系掌控者，但依然保持对暴露风险的警觉。"",""Current goal: 成功测试暗语系统，为明日食堂暗语游戏确认规则"",""Current state: 阿条从被动享受转为规则制定者，初尝主导禁忌游戏的甜蜜刺激，心理防线彻底转向接纳。""]","[""cmr23zj4j004tv16zlc1ewt6u""]","If this is an intentional turn, make the trigger explicit in the chapter or plan. Otherwise restore the prior goal.",4,2026-07-01T14:42:26.391+00:00,2026-07-01T14:49:00.899+00:00
cmr26psd704mzv16zd2la0u7k,cmr23pgks000fv16zpwg1ms38,cmr24zob901rkv16z4obgdvth,cmr26psce04mov16zi89zlpdj,,state_diff,character_goal_shift,character_goal_shift:cmr23zj4y004uv16zh1dm72nm,阿力 goal changed,"阿力 current goal changed from ""遵守阿条的规则，在隐蔽中推进关系。"" to ""配合阿条的规则，同时通过细微调整保持自身主动性"". Confirm this chapter includes a clear transition trigger.",medium,resolved,"[""Previous goal: 遵守阿条的规则，在隐蔽中推进关系。"",""Previous state: 阿力接受了阿条的规则，请求坦诚，关系进入明确但受约束的地下阶段。"",""Current goal: 配合阿条的规则，同时通过细微调整保持自身主动性"",""Current state: 阿力接受阿条的主导，但用加暗语、要求偏移等方式为自己留出空间，真实态度依旧模糊。""]","[""cmr23zj4y004uv16zh1dm72nm""]","If this is an intentional turn, make the trigger explicit in the chapter or plan. Otherwise restore the prior goal.",4,2026-07-01T14:42:26.395+00:00,2026-07-01T14:49:00.902+00:00
cmr26q03p04nuv16z5gritiek,cmr23pgks000fv16zpwg1ms38,cmr24zobb01rlv16z1chjyonq,cmr26y8qz04ppv16zakxqwzrs,,payoff_ledger,payoff_missing_progress,payoff:supervision_monitoring:payoff_missing_progress,payoff/payoff_missing_progress,伏笔“上下级监控压力”存在专项风险：正文未展示监控压力，需补充。,low,open,"[""王总在阿条身后站了十五秒，要求修改公式。""]",[],为该伏笔补上明确推进动作，避免账本继续停滞。,5,2026-07-01T14:42:36.421+00:00,2026-07-06T02:31:52.673+00:00
cmr26y0dj04pcv16zm4ft7783,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,cmr261wze048bv16zho19qw9d,cmr26y0d904pbv16zcg7ay9vv,audit_issue,mode_fit,mode_fit:mode_realism_detail:阿条穿围裙、储物隔间门被按住却未被尝试打开等细节削弱职场写实感。,mode_fit/mode_realism_detail,阿条穿围裙、储物隔间门被按住却未被尝试打开等细节削弱职场写实感。,low,resolved,"[""围裙线索与储物隔间门外消失的处理。""]",,按前述方案调整着装与门禁细节，强化真实职场逻辑。,1,2026-07-01T14:48:50.023+00:00,2026-07-01T15:33:30.932+00:00
cmr26y0dl04pdv16ze0pfwlcn,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,cmr261wze048bv16zho19qw9d,cmr26y0d504p9v16zbox19gy6,audit_issue,plot,plot:plot_beat_missing:必须推进的“两人在同事面前继续表演陌生人”未完成，阿力在阿条回工位后未出场，场景缺失。,plot/plot_beat_missing,必须推进的“两人在同事面前继续表演陌生人”未完成，阿力在阿条回工位后未出场，场景缺失。,medium,resolved,"[""从“她推开门走出去”到结尾，阿力一直留在茶水间，阿条在运营部独自面对李晴和小菲，没有两人互动的描写。""]",,在阿条坐下后，安排阿力从她身边走过递交文件或说一句工作上的话，两人保持正常同事距离和语气，完成表演。,1,2026-07-01T14:48:50.025+00:00,2026-07-01T15:33:30.932+00:00
cmr26y0dn04pev16ze8ykawyq,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,cmr261wze048bv16zho19qw9d,cmr26y0d204p6v16zpzh415jm,audit_issue,character,character:character_appearance_missing:陈默被列为必须出场角色，但正文仅闪现一条未回复的消息，无任何实际互动。,character/character_appearance_missing,陈默被列为必须出场角色，但正文仅闪现一条未回复的消息，无任何实际互动。,medium,resolved,"[""开头‘陈默的微信消息还停在那里’之后直到结尾未再提及，陈默未以任何形式参与剧情。""]",,让阿条在隔间危机解除后或回工位时快速回复陈默，引发内心波动；或通过手机震动、未接来电等方式让陈默“在场”。,1,2026-07-01T14:48:50.027+00:00,2026-07-01T15:33:30.932+00:00
cmr26y0dp04pfv16z1fw945ym,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,cmr261wze048bv16zho19qw9d,cmr26y0d304p7v16z60k1s6g3,audit_issue,character,character:character_outfit_issue:阿条穿围裙上班不符合科技公司职员日常着装，破坏角色真实感。,character/character_outfit_issue,阿条穿围裙上班不符合科技公司职员日常着装，破坏角色真实感。,low,resolved,"[""首句‘刚把手机收进围裙口袋’。""]",,将围裙改为工装外套或风衣口袋，或解释为临时套上的公司活动道具并快速脱下。,1,2026-07-01T14:48:50.028+00:00,2026-07-01T15:33:30.932+00:00
cmr26y0dq04pgv16z6nt1wi2z,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,cmr261wze048bv16zho19qw9d,cmr26y0cy04p4v16zjy4lfgrx,audit_issue,continuity,continuity:continuity_detail:李晴靠近隔间时未尝试开门，自然消退虽合理但略显侥幸。,continuity/continuity_detail,李晴靠近隔间时未尝试开门，自然消退虽合理但略显侥幸。,low,resolved,"[""李晴走近一米处，只说“这儿没人啊”就走，未触碰门把手，若门把手当时被阿力按住，她可能更会察觉异常。""]",,增加一个李晴轻拉门把手的动作，发现锁着或推不动，然后推测是杂物间不常用而放弃，增强真实感。,1,2026-07-01T14:48:50.030+00:00,2026-07-01T15:33:30.932+00:00
cmr26y8ro04pzv16zqpw13ykj,cmr23pgks000fv16zpwg1ms38,cmr24zobb01rlv16z1chjyonq,cmr26y8qz04ppv16zakxqwzrs,,state_diff,character_goal_shift,character_goal_shift:cmr23zj4j004tv16zlc1ewt6u,阿条 goal changed,"阿条 current goal changed from ""成功测试暗语系统，为明日食堂暗语游戏确认规则"" to ""成功完成食堂暗语游戏，在公开场合完成全套表演，确认自己能在阿力靠近时保持稳定。"". Confirm this chapter includes a clear transition trigger.",medium,resolved,"[""Previous goal: 成功测试暗语系统，为明日食堂暗语游戏确认规则"",""Previous state: 阿条从被动享受转为规则制定者，初尝主导禁忌游戏的甜蜜刺激，心理防线彻底转向接纳。"",""Current goal: 成功完成食堂暗语游戏，在公开场合完成全套表演，确认自己能在阿力靠近时保持稳定。"",""Current state: 阿条在茶水间脱险后体验到刺激上瘾，为明日食堂暗语制定新目标，心理防线彻底转向主动寻求冒险。""]","[""cmr23zj4j004tv16zlc1ewt6u""]","If this is an intentional turn, make the trigger explicit in the chapter or plan. Otherwise restore the prior goal.",5,2026-07-01T14:49:00.900+00:00,2026-07-01T14:54:04.409+00:00
cmr26y8rr04q0v16z9loz6rpa,cmr23pgks000fv16zpwg1ms38,cmr24zobb01rlv16z1chjyonq,cmr26y8qz04ppv16zakxqwzrs,,state_diff,character_goal_shift,character_goal_shift:cmr23zj4y004uv16zh1dm72nm,阿力 goal changed,"阿力 current goal changed from ""配合阿条的规则，同时通过细微调整保持自身主动性"" to ""配合阿条完成测试，通过主动添加暗语规则保持自身主动性。"". Confirm this chapter includes a clear transition trigger.",medium,resolved,"[""Previous goal: 配合阿条的规则，同时通过细微调整保持自身主动性"",""Previous state: 阿力接受阿条的主导，但用加暗语、要求偏移等方式为自己留出空间，真实态度依旧模糊。"",""Current goal: 配合阿条完成测试，通过主动添加暗语规则保持自身主动性。"",""Current state: 阿力在脱险中配合完美，并通过主动加量规则暗示主导权，真实态度仍模糊。""]","[""cmr23zj4y004uv16zh1dm72nm""]","If this is an intentional turn, make the trigger explicit in the chapter or plan. Otherwise restore the prior goal.",5,2026-07-01T14:49:00.903+00:00,2026-07-01T14:54:04.412+00:00
cmr26y8ru04q1v16zzreuephd,cmr23pgks000fv16zpwg1ms38,cmr24zobb01rlv16z1chjyonq,cmr26y8qz04ppv16zakxqwzrs,,state_diff,character_goal_shift,character_goal_shift:cmr23zj5u0052v16zbgy6zbi1,小菲 goal changed,"小菲 current goal changed from ""维持日常工作与社交，对阿力和阿条的关系开始留意但未深入"" to ""调查阿力手链来源，留意阿条与阿力的互动。"". Confirm this chapter includes a clear transition trigger.",medium,resolved,"[""Previous goal: 维持日常工作与社交，对阿力和阿条的关系开始留意但未深入"",""Previous state: 小菲捕捉到两人互动的微妙痕迹，但尚未形成怀疑，为后续升级埋下基础。"",""Current goal: 调查阿力手链来源，留意阿条与阿力的互动。"",""Current state: 小菲开始主动试探二人关系，但未得到决定性证据。""]","[""cmr23zj5u0052v16zbgy6zbi1""]","If this is an intentional turn, make the trigger explicit in the chapter or plan. Otherwise restore the prior goal.",5,2026-07-01T14:49:00.906+00:00,2026-07-01T15:17:20.361+00:00
cmr26y8s004q2v16zxftl0x8p,cmr23pgks000fv16zpwg1ms38,cmr24zobb01rlv16z1chjyonq,cmr26y8qz04ppv16zakxqwzrs,,state_diff,foreshadow_regression,foreshadow_regression:同事怀疑升级,同事怀疑升级 regressed,"Foreshadow ""同事怀疑升级"" moved from ""pending_payoff"" back to ""hinted"".",high,resolved,"[""Previous foreshadow: 小菲在打印室和食堂留意到异常，怀疑种子无声埋下。"",""Current foreshadow: 小菲主动询问手链，试探二人关系，怀疑初步建立。""]",,Do not reopen resolved foreshadowing unless the chapter explicitly creates a new thread.,5,2026-07-01T14:49:00.912+00:00,2026-07-01T14:54:04.408+00:00
cmr2719at04r8v16z073zueq3,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,cmr26psce04mov16zi89zlpdj,,payoff_ledger,payoff_missing_progress,payoff:workplace_supervision_pressure:payoff_missing_progress,payoff/payoff_missing_progress,伏笔“职场上下级监控压力”存在专项风险：目前尚未出现监控压力，需在后续章节引入。,low,resolved,"[""王总或公司制度对二人关系的潜在监控压力，需在后续章节体现，以增强职场写实感。""]",[],为该伏笔补上明确推进动作，避免账本继续停滞。,1,2026-07-01T14:51:21.557+00:00,2026-07-01T15:39:08.759+00:00
cmr2719aw04r9v16z1uwvxeog,cmr23pgks000fv16zpwg1ms38,cmr24zobt01rqv16zbto61e2r,cmr26psce04mov16zi89zlpdj,,payoff_ledger,payoff_missing_progress,payoff:trust_crisis_hidden_truth:payoff_missing_progress,payoff/payoff_missing_progress,伏笔“信任危机与隐瞒真相”存在专项风险：已到第10章，尚未展示激烈争吵场景，需在后续章节兑现。,medium,resolved,"[""第10章冷落突然降临，信任裂痕初现，逼近争吵。""]",[],为该伏笔补上明确推进动作，避免账本继续停滞。,10,2026-07-01T14:51:21.560+00:00,2026-07-01T15:39:08.759+00:00
cmr271lgj04rkv16zac9nmt5x,cmr23pgks000fv16zpwg1ms38,cmr24zobd01rmv16z1nhh9ss5,,cmr271lga04rjv16zw8k25xfg,audit_issue,continuity,continuity:obligation_missing:必须保留的‘阿条: 上下级监控’压力完全未提及，与上一章王总对表格有意见等伏笔断裂。,continuity/obligation_missing,必须保留的‘阿条: 上下级监控’压力完全未提及，与上一章王总对表格有意见等伏笔断裂。,medium,open,"[""必须保留的‘阿条: 上下级监控’压力完全未提及，与上一章王总对表格有意见等伏笔断裂。""]",,在工作群消息或阿条临睡前的思绪中，带过王总对明日晨会的严厉要求，以维持职场监控压力。,6,2026-07-01T14:51:37.315+00:00,2026-07-01T14:51:37.315+00:00
cmr271lgl04rlv16zxcciqyv7,cmr23pgks000fv16zpwg1ms38,cmr24zobd01rmv16z1nhh9ss5,,cmr271lg604rhv16z04ki8kox,audit_issue,character,character:obligation_missing:陈默作为 required character appearance 未以任何形式出场，仅作为对话框静默存在。,character/obligation_missing,陈默作为 required character appearance 未以任何形式出场，仅作为对话框静默存在。,high,open,"[""陈默作为 required character appearance 未以任何形式出场，仅作为对话框静默存在。""]",,安排陈默再次发来问候消息，阿条阅读后产生简短的回忆或冷漠疏离的回应，以完成出场要求并触发‘怀念的过去’状态。,6,2026-07-01T14:51:37.317+00:00,2026-07-01T14:51:37.317+00:00
cmr271lgn04rmv16zpkgb1k0v,cmr23pgks000fv16zpwg1ms38,cmr24zobd01rmv16z1nhh9ss5,,cmr271lg304rdv16z2ikut4vz,audit_issue,plot,plot:obligation_missing:正文未出现小菲 goal changed 的任何内容，而这是本章 must hit now 的核心推进点。,plot/obligation_missing,正文未出现小菲 goal changed 的任何内容，而这是本章 must hit now 的核心推进点。,high,open,"[""正文未出现小菲 goal changed 的任何内容，而这是本章 must hit now 的核心推进点。""]",,通过阿条的回忆或手机消息插入小菲的动态，例如她外勤回来态度转变，或群聊中表现出不再关注阿力手链等，以明确其怀疑消退。,6,2026-07-01T14:51:37.319+00:00,2026-07-01T14:51:37.319+00:00
cmr271lgp04rnv16za37ouyhv,cmr23pgks000fv16zpwg1ms38,cmr24zobd01rmv16z1nhh9ss5,,cmr271lg304rev16zll9kdhdp,audit_issue,plot,plot:obligation_missing:正文未体现阿力 goal changed，虽然有消息互动，但未展示其目标从配合测试转向任何新方向。,plot/obligation_missing,正文未体现阿力 goal changed，虽然有消息互动，但未展示其目标从配合测试转向任何新方向。,high,open,"[""正文未体现阿力 goal changed，虽然有消息互动，但未展示其目标从配合测试转向任何新方向。""]",,在阿条与阿力的消息往来中，让阿力主动提出一条新暗语或规则调整，暗示他正主导关系节奏的变化。,6,2026-07-01T14:51:37.321+00:00,2026-07-01T14:51:37.321+00:00
