id,snapshotId,characterId,currentGoal,emotion,stressLevel,secretExposure,knownFactsJson,misbeliefsJson,summary,createdAt,updatedAt
cmr27yo1u04ypv16zz3wu6gt9,cmr27yo1p04ynv16zhjb497sh,cmr23zj4y004uv16zh1dm72nm,保持默契，通过暗语和眼神向阿条传递‘我还在’，但不主动打破距离。,模糊、克制,55,阿条通过眼神接受到确认信号,"[""阿条在团建中维持距离策略"",""小菲对自己不断示好""]",,阿力行为上配合小菲的靠近，但通过极简信息与眼神保住了与阿条的暗号连接。,2026-07-01T15:17:20.322+00:00,2026-07-01T15:17:20.322+00:00
cmr27yo1u04yqv16zs4k86aya,cmr27yo1p04ynv16zhjb497sh,cmr23zj5u0052v16zbgy6zbi1,继续接近阿力，通过各类互动提升接触机会和熟悉度。,雀跃、主动,40,同事可能已注意到她对阿力的关注,"[""阿力在游戏中配合自己，不排斥近距离接触""]",,小菲对阿力的好感表现进一步升级，从送咖啡到主动搭档，并借助集体活动推进个人意图。,2026-07-01T15:17:20.322+00:00,2026-07-01T15:17:20.322+00:00
cmr284zxf051dv16zbcipvsrw,cmr284zx4051cv16zc77oi5jc,cmr23zj4j004tv16zlc1ewt6u,消化疲惫，试图确认阿力状态但受挫，对游戏产生质疑,疲惫、受伤、迷茫,75,读者知道她对阿力冷落感到心寒，但阿力不知,"[""陈默下周六晚聚会"",""阿力今日完全回避互动""]",,阿条在试探中多面受挫，开始怀念过去无忧的状态，怀疑当前策略的意义。,2026-07-01T15:22:15.651+00:00,2026-07-01T15:22:15.651+00:00
cmr284zxf051ev16z0lf3ub7l,cmr284zx4051cv16zc77oi5jc,cmr23zj5u0052v16zbgy6zbi1,继续接近阿力，提升接触机会,困惑但坚持,40,,"[""阿力对自己说话很少""]",,小菲在食堂跟随阿力，但遭遇极简回应，仍不放弃。,2026-07-01T15:22:15.651+00:00,2026-07-01T15:22:15.651+00:00
cmr284zxf051fv16zsaw1j4eh,cmr284zx4051cv16zc77oi5jc,cmr23zj58004wv16zpaestpwt,做好工作，同时观察阿条与阿力的关系,好奇、计算,50,,"[""阿力行为近期古怪"",""阿条否认与阿力有关""]",,李晴试探阿条，留意阿力异常，并可能私下与阿力沟通。,2026-07-01T15:22:15.651+00:00,2026-07-01T15:22:15.651+00:00
cmr28ct4t054mv16znuexnd7t,cmr28ct4i054lv16zo559rqej,cmr23zj4j004tv16zlc1ewt6u,确认阿力状态，转为消极观察与猜疑,不安、怀疑,75,读者知道她怀疑阿力隐瞒,"[""阿力拒绝私下邀约和午餐"",""阿力在食堂未给眼神或暗语回应"",""阿力与小菲一起加班"",""暗语“你稳？”已读未回""]","[""阿力可能在隐瞒重要原因""]",阿条开始怀疑阿力隐瞒真实原因，决定不再主动。,2026-07-01T15:28:20.093+00:00,2026-07-01T15:28:20.093+00:00
cmr28ct4t054nv16zfocs1f7w,cmr28ct4i054lv16zo559rqej,cmr23zj4y004uv16zh1dm72nm,保持距离，不主动互动,平静但刻意,50,读者不知道他的真实想法,"[""他拒绝了阿条的邀约和午餐"",""未回应暗语""]",,阿力行为上完全回避阿条，未给出解释。,2026-07-01T15:28:20.093+00:00,2026-07-01T15:28:20.093+00:00
cmr28ct4t054ov16z73bgxfc6,cmr28ct4i054lv16zo559rqej,cmr23zj58004wv16zpaestpwt,观察阿条与阿力关系,好奇,40,读者知道她在观察,"[""阿条情绪不高"",""阿力行为古怪""]",,李晴继续观察两人，但未深入了解。,2026-07-01T15:28:20.093+00:00,2026-07-01T15:28:20.093+00:00
cmr28ct4t054pv16zwuga7zd1,cmr28ct4i054lv16zo559rqej,cmr23zj5u0052v16zbgy6zbi1,接近阿力,积极,30,无,"[""成功接近阿力一起加班""]",,小菲成功接近阿力，可能一起加班。,2026-07-01T15:28:20.093+00:00,2026-07-01T15:28:20.093+00:00
cmr28ct4t054qv16zrw8ltjtu,cmr28ct4i054lv16zo559rqej,cmr23zj5m0050v16zyqacdl0n,组织聚会，联系阿条,普通,30,无,"[""阿条答复“尽量”参加聚会""]",,陈默邀请阿条参加周六聚会，阿条答复尽量。,2026-07-01T15:28:20.093+00:00,2026-07-01T15:28:20.093+00:00
cmr28mptx05a3v16zfop57odn,cmr261wze048bv16zho19qw9d,cmr23zj4j004tv16zlc1ewt6u,隐藏与阿力的秘密关系，同时控制自己情感,恐惧、刺激、困惑、生气,75,与阿力的禁忌关系，仅两人和读者知晓,"[""阿力在茶水间主动行动"",""阿力发消息“你稳？”"",""阿力在工位表演正常""]",,阿条经历了危险刺激，内心明确产生禁忌意识，对阿力的真实态度产生猜疑。,2026-07-01T15:36:02.373+00:00,2026-07-01T15:36:02.373+00:00
cmr28mptx05a4v16z2ur4h7u9,cmr261wze048bv16zho19qw9d,cmr23zj4y004uv16zh1dm72nm,保持与阿条的暧昧关系，同时维持职场正常,强势、冷静、可能失望,50,与阿条的禁忌关系,"[""阿条推开他并说“我们不能这样”"",""阿条没有回复消息""]",,阿力在茶水间主动出击，被拒绝后恢复冷漠，在同事面前表演自然，用暗语试探阿条。,2026-07-01T15:36:02.373+00:00,2026-07-01T15:36:02.373+00:00
cmr30u04r0alzv16zhs6ezr7n,cmr30u04i0alyv16ziqkumb3b,cmr23zj4j004tv16zlc1ewt6u,用另一种方式测试阿力，让他暴露真实态度。,不甘、猜疑、被冷落，带着赌气与决绝,80,秘密关系未暴露，但可疑行为引起李晴注意,"[""阿力以加班为由回避，不正面回应该是否在躲她"",""陈默聚会定于周日晚上七点湖滨烤肉店"",""李晴注意到她没睡好并询问"",""小菲与阿力互动自然，令她心生醋意""]","[""阿力可能认为她完全可以被晾在一边"",""只要不再提问就能保住自尊""]",阿条冲破自我约束，在质问失败后将内心动荡转化为行动策划，用聚会邀请作为暂时出口，同时埋下更大试探的种子。,2026-07-02T04:45:31.563+00:00,2026-07-02T04:45:31.563+00:00
cmr30u04r0am0v16zepbgf1w8,cmr30u04i0alyv16ziqkumb3b,cmr23zj4y004uv16zh1dm72nm,维持职场正常表象，继续回避阿条,表面平静，内心冷漠，隐藏真实情绪,60,秘密关系未暴露,"[""阿条质问他是否在躲"",""阿条没有追出电梯，在门关上后返回楼上""]",,阿力以加班为借口持续回避，用敷衍言辞应对质问，其冷静态度反而加深了阿条的猜疑。,2026-07-02T04:45:31.563+00:00,2026-07-02T04:45:31.563+00:00
cmr30u04r0am1v16zyojst7r0,cmr30u04i0alyv16ziqkumb3b,cmr23zj58004wv16zpaestpwt,继续观察阿条与阿力的异常，确认聚会,关心但不追问,30,对两人真实关系一无所知,"[""阿条没睡好，有明显黑眼圈"",""阿力最近话变少了"",""阿条确认参加陈默的聚会""]",,李晴保持敏感观察，注意到两人状态的细微异常，但不主动介入，只以朋友身份确认聚会。,2026-07-02T04:45:31.563+00:00,2026-07-02T04:45:31.563+00:00
cmr30u04r0am2v16zzvkuf98q,cmr30u04i0alyv16ziqkumb3b,cmr23zj5u0052v16zbgy6zbi1,继续接近阿力,自然、主动,20,不知情,"[""给阿力带了加糖的咖啡"",""与阿力一起讨论数据""]",,小菲与阿力的互动进一步坦然，在工作场景中拉近距离，无意中加剧了阿条的醋意和失落。,2026-07-02T04:45:31.563+00:00,2026-07-02T04:45:31.563+00:00
cmr314mbw0ap5v16zfz14kwvb,cmr314mbp0ap4v16zn1dhge8z,cmr23zj4j004tv16zlc1ewt6u,等待阿力解释隐瞒的内容，不主动退出,坚定、失落、执念,80,读者知道她已确认阿力疏远且决心等待，但办公室其他人未知,"[""阿力视她为陌生人"",""阿力可能在意她的举动（仍有目光）但选择无视""]","[""也许他是在隐瞒而不是不在意，但她不确定""]",阿条从主动试探转向被动等待，内心矛盾但执意要一个答案。,2026-07-02T04:53:46.892+00:00,2026-07-02T04:53:46.892+00:00
cmr314mbw0ap6v16zlp2r2pb8,cmr314mbp0ap4v16zn1dhge8z,cmr23zj4y004uv16zh1dm72nm,彻底疏远阿条，让她放弃,平静、坚决,70,读者通过阿条视角知道他的冷漠行为，但不知原因,"[""阿条在与小刘说话""]","[""可能认为阿条已经不再纠缠""]",阿力以公开场合的彻底漠视向阿条传递结束信号，但隐藏原因。,2026-07-02T04:53:46.892+00:00,2026-07-02T04:53:46.892+00:00
cmr314mbw0ap7v16z34k15tvx,cmr314mbp0ap4v16zn1dhge8z,cmr23zj58004wv16zpaestpwt,密切关注阿条，准备必要时介入,关心、迟疑,30,无,"[""阿条状态持续不佳"",""阿条与阿力之间气氛尴尬""]",,李晴作为好友，察觉到异常但选择继续观察，不贸然行动。,2026-07-02T04:53:46.892+00:00,2026-07-02T04:53:46.892+00:00
cmr314mbw0ap8v16zp033x92k,cmr314mbp0ap4v16zn1dhge8z,cmr23zj5u0052v16zbgy6zbi1,以专业合作维持与阿力的同事关系,适应、自然,20,无,"[""阿力在工作中认真负责""]",,小菲调整与阿力互动方式，转为沉稳同事，原因可能是阿力态度影响。,2026-07-02T04:53:46.892+00:00,2026-07-02T04:53:46.892+00:00
cmr31ctbs0assv16z68ffklun,cmr31ctbm0asrv16z7xp7iw0m,cmr23zj4j004tv16zlc1ewt6u,在回避中等待阿力解释，防止秘密暴露,恐慌与执念交织,78,她不知道阿力发消息的原因，读者知道她在回避并等待,"[""同事小菲和李晴在议论阿力对某人特别冷淡，直指自己"",""阿力突然发消息打破沉默""]",,阿条在恐慌中主动回避阿力，但内心执念等待解释，拒绝见面后仍无法释怀。,2026-07-02T05:00:09.208+00:00,2026-07-02T05:00:09.208+00:00
cmr31ctbs0astv16zvqoickbw,cmr31ctbm0asrv16z7xp7iw0m,cmr23zj4y004uv16zh1dm72nm,意图不明，公开场合仍彻底冷漠，但私下尝试联系,不明,60,读者和阿条知道他主动联系，但他不知道阿条偷听同事议论并回避,"[""阿条以加班为由拒绝了他的见面邀请""]","[""可能认为阿条只是因为工作繁忙而拒绝""]",阿力维持公开冷漠，但反常地私下联系阿条，行为出现裂口。,2026-07-02T05:00:09.208+00:00,2026-07-02T05:00:09.208+00:00
cmr31ctbs0asuv16z0jglijpp,cmr31ctbm0asrv16z7xp7iw0m,cmr23zj58004wv16zpaestpwt,密切关注阿条与阿力异常，准备必要时介入,关心且警惕,45,她参与议论且疑心加重，但未掌握秘密全貌,"[""小菲也注意到阿力对某人异常冷淡"",""阿条最近状态不佳且不愿说明""]","[""可能认为阿条遇到了某种职场困境""]",李晴加深观察，主动表达支持，成为阿条潜在倾诉对象。,2026-07-02T05:00:09.208+00:00,2026-07-02T05:00:09.208+00:00
cmr31m5sp0avdv16zlg4v31wn,cmr31m5sk0avcv16zxfztsnkr,cmr23zj4j004tv16zlc1ewt6u,停止主动联系，但内心仍期待阿力主动沟通，同时忧虑明天办公室相处,失望、疲惫、残存期待,85,她仍未向同事透露阿力与她的具体关系性质,"[""阿力回复“别多想，为大家好”后已读不回"",""阿力可能后悔或不想解释""]",,阿条首次因隐瞒本身与阿力发生文字争吵，却被冷处理，失望累积，停止主动发消息但内心仍留期待，为下一阶段冷暴力铺垫。,2026-07-02T05:07:25.273+00:00,2026-07-02T05:07:25.273+00:00
cmr31m5sp0avev16z23ijkq8g,cmr31m5sk0avcv16zxfztsnkr,cmr23zj4y004uv16zh1dm72nm,用沉默和回避迫使阿条放弃追问，避免任何解释,冷漠，可能内心有压力但完全隐藏,70,他仍未解释为何疏远，未公开与阿条的关系,"[""阿条连续发出多条质问消息"",""阿条说不会再发消息""]",,阿力仅用一句简短回复后彻底已读不回，用冷漠加固壁垒，拒绝沟通。,2026-07-02T05:07:25.273+00:00,2026-07-02T05:07:25.273+00:00
cmr31m5sp0avfv16zjtx37omp,cmr31m5sk0avcv16zxfztsnkr,cmr23zj58004wv16zpaestpwt,明天午饭与阿条聊聊，试图了解并帮助她,关心，轻度担忧,40,她仍未知道阿条与阿力的具体关系,"[""阿条最近状态不对"",""陈默聚会阿力还未回复""]",,李晴从观察转为主动介入，发起私聊邀约，加深对阿条的关心。,2026-07-02T05:07:25.273+00:00,2026-07-02T05:07:25.273+00:00
cmr31u2u40ayav16zccr13vmm,cmr31u2u00ay9v16z0uqj1fsv,cmr23zj4j004tv16zlc1ewt6u,不再主动联系阿力，戴上面具应对同事，维持职场正常状态,心痛但决心已定，疲惫,75,与阿力的秘密关系已被李晴部分知晓,"[""阿力在办公室彻底无视她，包括眼神回避""]",,阿条心理转折完成，决定不再主动，但内心仍残留刺痛，准备用防御姿态面对同事。,2026-07-02T05:13:34.684+00:00,2026-07-02T05:13:34.684+00:00
cmr31u2u40aybv16zym7danp9,cmr31u2u00ay9v16z0uqj1fsv,cmr23zj58004wv16zpaestpwt,继续支持阿条，关注其情绪，可能尝试进一步帮助,关心，担忧,30,获知阿条与阿力的秘密关系细节,"[""阿条和阿力“没有开始，差一点开始”"",""阿力对阿条说“别多想，为大家好”""]",,李晴从阿条处得知部分真相，关心升级，从观察转为知情的支持者。,2026-07-02T05:13:34.684+00:00,2026-07-02T05:13:34.684+00:00
cmr31u2u40aycv16zua7yjz5j,cmr31u2u00ay9v16z0uqj1fsv,cmr23zj4y004uv16zh1dm72nm,用彻底无视和封闭阻断一切私人交流，维持仅工作关系,表面平静，可能内心复杂,40,不知阿条已向李晴坦白,"[""阿条不再发消息""]",,阿力持续无视阿条，并将冷漠扩展至其他同事，表现出全面封闭姿态，真实态度未明。,2026-07-02T05:13:34.684+00:00,2026-07-02T05:13:34.684+00:00
cmr320isl0b1hv16zxwjwados,cmr320isd0b1gv16zy3msz950,cmr23zj4j004tv16zlc1ewt6u,在周六聚餐中与阿力保持距离，不露破绽，应对同事可能的观察与试探,警觉且决心坚定，但独处时仍有脆弱,75,同事怀疑有暧昧但未抓到实质，议论范围可能扩大,"[""小菲的试探目的是确认她是否因私事影响状态"",""陈默曾告诫阿力办公室恋情，阿力仅冷淡回复“知道了”"",""周六聚餐需要统一坐大巴，与阿力同场但必须疏远""]","[""可能仍认为阿力筑墙是为了保护她，而不全是疏远""]",阿条从被动承受转为主动防御，内心虽仍有脆弱，但已开始以“表演者”身份为聚餐做心理准备。,2026-07-02T05:18:35.300+00:00,2026-07-02T05:18:35.300+00:00
cmr3276tr0b3tv16zz9ynzsza,cmr3276tl0b3sv16zkevspf7x,cmr23zj4j004tv16zlc1ewt6u,在绝望中等待可能不存在的回应，压抑崩溃情绪,冰冷麻木,90,未暴露，成功表演,"[""阿力声称家里有急事提前离席""]",,阿条成功执行疏离策略，与阿力零互动，内心从强撑转为冰冷麻木，独自在黑暗中等待。,2026-07-02T05:23:46.383+00:00,2026-07-02T05:23:46.383+00:00
cmr32hs890b5zv16zzsunzlwa,cmr32hs830b5yv16znw2frbjt,cmr23zj4j004tv16zlc1ewt6u,关上情感闸门，专注工作应对，拒绝期待阿力的任何回应,冷静而紧绷，内心完成切断,75,已读未回使阿力感知到她的拒绝，秘密关系的张力进入公开边缘,"[""阿力凌晨来电及留言内容"",""王总邮件要求每日同步，明早9点第一次进度对齐"",""她自己已决定不再主动、不再期待""]",,阿条通过按掉电话并已读不回，彻底关闭情感闸门，将心理能量转向次日必须面对的工作合作。,2026-07-02T05:32:00.681+00:00,2026-07-02T05:32:00.681+00:00
cmr32rvsh0b8mv16zxsbn46rl,cmr32rvs80b8lv16zhabe8v2u,cmr23zj4j004tv16zlc1ewt6u,彻底关闭情感闸门，零期待，仅以冷硬工作态度应对,冰冷、麻木、决绝,85,无变化,"[""阿力用工作话题回避私人质问"",""阿力卡点回复邮件"",""阿力会后试图用私人话题关心但立刻被她制止""]","[""阿力的温柔只是挡箭牌，毫无真心""]",阿条从主动试探到失望决绝，决心彻底放弃，用冷漠武装自己，对合作通知毫无涟漪。,2026-07-02T05:39:51.857+00:00,2026-07-02T05:39:51.857+00:00
cmr32rvsh0b8nv16zta88xlh3,cmr32rvs80b8lv16zhabe8v2u,cmr23zj4y004uv16zh1dm72nm,维持工作沟通，回避私人交流，但会后忍不住试图缓和,表面平静，内里矛盾,65,无变化,,,阿力继续回避私人话题，但会议后尝试关心阿条，被拒绝后不再挽留。,2026-07-02T05:39:51.857+00:00,2026-07-02T05:39:51.857+00:00
cmr331fey0bb6v16z404vidxs,cmr331fes0bb5v16zv37i6ygc,cmr23zj4j004tv16zlc1ewt6u,寻找机会向阿力逼问真相，打破被项目锁死的压抑状态,绝望中带着不甘和决心,85,,,,阿条在流程隔绝下无处可逃，深夜意识到被项目锁死，决心不能再这样下去，开始积蓄情绪为正面冲突做准备。,2026-07-02T05:47:17.194+00:00,2026-07-02T05:47:17.194+00:00
cmr331fey0bb7v16z3j3r8zhf,cmr331fes0bb5v16zv37i6ygc,cmr23zj4y004uv16zh1dm72nm,将工作关系完全限制在正式流程内，杜绝任何私下接触的可能,冷静、疏离，全程无软化,60,,,,阿力用王总要求和邮件流程彻底隔绝私下沟通，表现出完全的公事公办，无任何软化迹象。,2026-07-02T05:47:17.194+00:00,2026-07-02T05:47:17.194+00:00
cmr331fey0bb8v16zizry9agt,cmr331fes0bb5v16zv37i6ygc,cmr23zj5m0050v16zyqacdl0n,组织聚会，并同意阿条提前到的请求,关心,,,,,陈默接到阿条要求提前到的消息，快速回复，聚会准备中。,2026-07-02T05:47:17.194+00:00,2026-07-02T05:47:17.194+00:00
cmr33aw9u0bdnv16zz9rsprhq,cmr33aw9p0bdmv16z8bg0bkb6,cmr23zj4j004tv16zlc1ewt6u,不再追问阿力，转为冷漠切割，专注于自我行动，准备参加陈默聚会。,疲惫但决绝，冷静中带着警惕,75,读者知道她内心决定切割，但她仍不知道阿力电话内容。,"[""阿力按掉来电并在两周内持续回避"",""阿力接听了一个让他神色紧张的电话并离开"",""陈默聚会时间地点已定""]",,阿条在当面对峙和冷落后清醒，从追问转为主动切断情感，回归自我保护。,2026-07-02T05:54:38.945+00:00,2026-07-02T05:54:38.945+00:00
cmr33aw9u0bdov16zjej2dkgr,cmr33aw9p0bdmv16z8bg0bkb6,cmr23zj4y004uv16zh1dm72nm,掩盖神秘联系，尽快摆脱阿条去处理紧急电话。,防御、紧张、焦急,80,阿条和读者都觉察到他接听神秘电话的异常，但内容未知。,"[""阿条当面逼问，态度坚决"",""神秘电话的紧急程度迫使他必须离开""]",,阿力在防御中暴露了新的秘密线索，回避策略升级，但内心未知。,2026-07-02T05:54:38.945+00:00,2026-07-02T05:54:38.945+00:00
cmr33lp0w0bgwv16zamahyx35,cmr33lp0r0bgvv16zeme52htz,cmr23zj4j004tv16zlc1ewt6u,暗中调查“若若”身份及阿力隐藏的联系,心寒、无奈却冷静,75,她知道阿力与“若若”频繁联系，但阿力尚未察觉她已开始调查,"[""阿力手机有备注名为“若若”的联系人，消息内容暧昧"",""阿力周六通话中严令对方别再发消息，试图隐藏"",""若若手机号归属杭州移动，微信号“Ruo”，头像模糊夜景""]","[""阿力对若若的关系可能超出普通同事或朋友""]",阿条从放弃追问转为主动暗查，收集证据，内心愈发冰冷，不再信任阿力。,2026-07-02T06:03:02.768+00:00,2026-07-02T06:03:02.768+00:00
